commentaire,date,endDate,evenement,startDate
arrivée de la tribu gauloise des Parisii dans la région,,-300.0,Premières monnaies d’or des Parisii.,-300.0
grand conseil des Gaules en présence de Jules César Les députés des Parisii ne sont pas là,,-53.0,"mai : bataille de Lutèce qui voit la victoire des légions de Labienus, lieutenant de Jules César, sur les Aulerques, les Sénons et les Parisii de Camulogène. Ces derniers occupent le site depuis plusieurs siècles. Les Gaulois préfèrent détruire les ponts et incendier eux-mêmes leur cité plutôt que d’y laisser entrer les Romains. L’incendie de la Lutèce gauloise permettra aux Romains de doter la ville d’une structure romaine rapidement, d’autant qu’avec sept collines et un fleuve, le parallèle avec Rome est facile.",-53.0
,,37.0,Les nautes de Lutèce élèvent une colonne en l’honneur de Jupiter : c’est le fameux « pilier des Nautes » mis au jour sous les fondations de Notre-Dame.,14.0
,,100.0,Construction du forum de Lutèce.,50.0
,,66.0,"Construction à Lutèce de trois thermes alimentées par un aqueduc de 16 kilomètres longeant la Bièvre dont les thermes de Lutèce, d’un amphithéâtre de 17 000 places (les arènes de Lutèce) et d’un théâtre de 3 000 places, notamment.",65.0
,,250.0,"Martyre du premier évêque de Lutèce, saint Denis. Ce dernier fut l’un des sept évêques envoyés en Gaule pour l’évangéliser. Les succès enregistrés provoquèrent la haine des païens qui le firent décapiter sur la colline de Montmartre. La légende précise que saint Denis prit alors sa tête dans ses mains ; c’est la représentation la plus classique du futur saint patron de la France.",250.0
,,275.0,Saccage probable par des envahisseurs germains de la rive gauche de la cité.,275.0
,,292.0,Hiver particulièrement glacial. La Seine gèle ; c'est la première mention de ce type qui soit parvenue jusqu’à nous.,291.0
,,300.0,Lutèce devient Paris.,300.0
,,308.0,Construction d’un rempart autour de l’île de la Cité afin de la protéger des envahisseurs germains.,308.0
,,346.0,Vingt jours consécutifs de pluie en mars. Inondations.,346.0
,,350.0,La première basilique dédiée à Saint-Étienne est construite par les Parisiens. Cette basilique était située tout près de l'église Notre-Dame qui sera construite par Childebert Ier en 522.,350.0
,,358.0,Février à juillet 358. Le césar Julien est présent à Paris avant de partir en campagne contre les Alamans et les Francs.,358.0
,,360.0,"Julien est présent à Paris après sa campagne victorieuse. Il séjourne probablement au palais qui devait se trouver à la pointe de l'île de la Cité, sur un lieu qui a été ensuite occupé par les rois mérovingiens. L'empereur demandant le transfert de deux ses légions sur le Danube, les troupes de Julien refusent et le proclament Auguste à Paris. Il le devient à la mort de Constance II en 361. Dans son Misopogon Julien indique : « Je passai l'hiver dans ma chère ville de Lutèce, elle est située dans une petite île, ou l'on n'entre que par deux ponts de bois (le pont au Change et le petit Pont). Il y croit un excellent vin, on commence à connaitre l'art  d'y élever des figuiers.... »",359.0
,,360.0,"Concile à Paris sur l’hérésie arianiste. Cette doctrine religieuse due au prêtre Arius ne reconnaît ni la divinité du christ, ni l’autorité du pape. Elle a été condamnée au premier concile de Nicée, en 325. Ce mouvement religieux chrétien s'est diffusé auprès de certains peuples germaniques, goths et burgondes. Les invasions de ces peuples va permettre à l’arianisme de s’imposer peu à peu à travers les parties de l'Europe qu'ils occupent progressivement. Paris devient, plus que Rome elle-même, la ville la plus hostile à l'arianisme et s'attache à rester fidèle au christianisme romain, le catholicisme.",360.0
,,365.0,Octobre à décembre 365. Premier séjour de l'empereur Valentinien Ier Paris.,365.0
,,366.0,"Vers juin 366. Second séjour de Valentinien Ier à Paris. On lui apporte la tête de Procope vaincu par Valens. Il y reçoit Jovin, maître de la cavalerie, qui a vaincu les Alamans.",366.0
,,383.0,Bataille de Lutèce entre les forces du général Magnus Maximus proclamé empereur par ses troupes et celles de l'empereur Gratien.,383.0
,,385.0,Passage à Paris de saint Martin qui guérit un lépreux à la porte Nord de la cité par un simple baiser et une bénédiction.,385.0
,,397.0,Novembre 397. « été de Saint-Martin » du 8 au 11 novembre : « les roses refleurissent ».,397.0
,,,"Geneviève de Paris exhorte les habitants à ne pas fuir face à l'approche des Huns d'Attila (qui se dirigera finalement vers Orléans). Ses mots restent célèbres : « Que les hommes fuient, s’ils veulent, s’ils ne sont plus capables de se battre. Nous les femmes, nous prierons Dieu tant et tant qu’Il entendra nos supplications ». Elle devient le personnage le plus en vue de la cité.",
,,465.0,"Blocus de Paris par le roi franc Childéric Ier, qui chasse les Romains de Paris.",464.0
,,475.0,Construction d’une basilique à l’emplacement du tombeau de saint Denis.,475.0
,,486.0,"Sainte Geneviève négocie avec Clovis la soumission de Paris à son autorité. Clovis vient de remporter une victoire décisive sur le romain Syagrius, mais sainte Geneviève lui interdit toute entrée à Paris. Il assiège la ville où une famine se déclare. Sainte Geneviève organise le ravitaillement, et Clovis lève le siège. Cette situation tendue entre Paris et Clovis perdure pendant dix ans. Paris est alors un îlot nicéen au milieu d’un océan dominé par l’arianisme, et sainte Geneviève ne veut pas couper définitivement les ponts avec Clovis, roi païen et pas arianiste comme tous les autres rois barbares. La défaite de Syagrius, « le dernier des Romains », marque la césure parisienne entre l'Antiquité et le Moyen Âge, ou plutôt l'Antiquité tardive.",486.0
,,494.0,"Clovis se laisse progressivement convaincre par son entourage catholique de se convertir. Les avantages politiques apparaissent en effet évidents, car de nombreuses cités restées farouchement catholiques, comme Paris, appellent de leurs vœux un roi catholique. Premier signe de cette conversion progressive, le baptême de son fils. Hélas, ce dernier meurt peu après le sacrement, déclenchant une colère noire de Clovis qui assiège alors Paris. Sainte Geneviève organise le ravitaillement de la ville. Clovis lève le siège.",494.0
,,496.0,La conversion de Clovis au catholicisme à Reims est accueillie par la liesse à Paris qui ouvre désormais en grand ses portes aux Francs convertis. La reconquête face aux hérétiques ariens peut commencer. Clovis est en effet le seul monarque catholique en exercice ; la France hérite du surnom de « Fille aînée de l'Église ».,496.0
,,500.0,"3 janvier 500 ou 502 : Décès de sainte Geneviève : Elle est inhumée au sommet de la « montagne » qui portera désormais son nom. Clovis y fait bâtir la basilique des Saints-Apôtres, plus tard débaptisée Basilique Sainte-Geneviève : Elle devient plus tard la patronne de la ville.",500.0
,,508.0,"Après avoir tué Alaric, roi des Wisigoths, lors d'un combat singulier lors de la bataille de Vouillé, Clovis réside à Paris et en fait la capitale de son royaume.",508.0
,,510.0,"Proclamation de la loi salique : Afin de se positionner en refondateur de l’état de droit, Clovis fait rédiger entre 508 et 510 le premier code de lois français. Jusqu’à la Révolution française et la rédaction du Code Napoléon, ce code législatif reste à la base de la législation en usage. L’égalité entre Francs et Gallo-romains, la liberté de mariage, et la fin de la coutume du « droit de vengeance » y sont notamment proclamées.",510.0
,,511.0,Après le 29 octobre 511 : Mort de Clovis à Paris. Il est enterré dans l'église des Saints-Apôtres. Son royaume est partagé entre ses quatre fils. Childebert Ier est roi de Paris.,511.0
,,522.0,Crue de la Seine,522.0
,,538.0,"7 mai 538 : Amélius, évêque de Paris, est présent au concile d'Orléans.",538.0
,,540.0,"Construction de la cathédrale Saint-Étienne, située à l'emplacement où sera construite plus tard Notre-Dame.",540.0
,,547.0,"Fondation de l'église Sainte-Croix et Saint-Vincent, depuis l'abbaye Saint-Germain sur les ruines du temple d'Isis.",543.0
,,551.0,"Deuxième concile de Paris. La déposition de Saffaracus, évêque de Paris, est confirmée. Il est condamné à la réclusion dans un monastère.",551.0
,,552.0,Un violent incendie ravage Paris,552.0
,,555.0,Childebert Ier commence à bâtir la cathédrale dédiée à Notre-Dame,555.0
,,558.0,"Clotaire Ier, roi des Francs de Soissons réside à Paris",558.0
,,577.0,Chilpéric fait réparer l’amphithéâtre romain et y donne des spectacles.,577.0
,,580.0,Fondation de l'église Saint-Germain-le-Rond et de l'église Saint-Julien-le-Pauvre,580.0
,,582.0,Chilpéric convertit de force de nombreux juifs parisiens.,582.0
,,583.0,"Février 583 : Première crue importante de la Seine mentionnée. Grégoire de Tours indique qu'il y eut une inondation si grande qu'entre la Cité et l'église Saint-Laurent, on ne pouvait aller qu'en bateau.",583.0
,,584.0,Hiver très doux. Des roses au mois de janvier !,583.0
,,585.0,Grand incendie qui ravage toute l’île de la Cité. Seule la cathédrale et les bâtiments qui en dépendaient restent intactes ,585.0
,,595.0,"Clotaire Ier rend un édit par lequel il ordonne que les gens établis à Paris pour le guet de nuit, sont responsables des vols, s'ils n'arrêtent pas le voleur.",595.0
,,614.0,"10 octobre 614 : Concile sur la liberté des élections épiscopales et sur la juridiction des évêques sur les clercs. Depuis 535, et le concile de Clermont, les évêques étaient déjà librement élu par les clercs et le peuple.",614.0
,,638.0,Dagobert Ier réside à Paris et à Clichy-la-Garenne,628.0
,,656.0,Fondation de l'Hôtel-Dieu par Saint Landry.,651.0
,,654.0,"Décès de l’évêque Landry qui aurait été le fondateur de l’Hôtel-Dieu vers 651. Contrairement aux autres institutions d’assistance qui verront le jour par la suite, l’Hôtel-Dieu reçoit tous les miséreux et les malades, sans distinction. C'est, de fait, la première institution hospitalière, concept totalement inconnu de l'Antiquité.",654.0
,,666.0,La peste ravage Paris,666.0
,,719.0,Charles Martel entre victorieux à Paris,719.0
,,754.0,28 juillet 754 : Onction papale de Pépin le Bref et de ses fils Carloman et Charlemagne par le pape Étienne II à l’abbaye de Saint-Denis.,754.0
,,764.0,hiver très rigoureux du 30 octobre au 10 février : La mer gèle en Normandie ! La Seine gèle sur toute son épaisseur à Paris[réf. nécessaire]. Il tombe jusqu’à 10 mètres de neige dans certaines régions. Oliviers et figuiers détruits. Grande famine par la suite.,763.0
,,781.0,Charlemagne fonde une école qui est le berceau de l'Université de Paris,781.0
,,845.0,Famine à la suite des aléas climatiques et des destructions normandes.,845.0
,,876.0,On recense onze famines en vingt ans.,855.0
,,856.0,28 décembre 856 : Deuxième raid normand sur Paris qui incendient la ville.,856.0
,,857.0,"12 juin 857 : Nouveau raid normand. Toutes les églises sont brûlées, sauf celles de Saint-Germain-des-Prés et de Saint-Denis, contre versement d’une solide rançon.",857.0
,,858.0,3 avril 858 : Prise de l’abbaye de Saint-Germain-des-Prés par les Normands.,858.0
,,860.0,Construction du pont Charles-le-Chauve,860.0
,,861.0,Nouveau raid normand sur Paris qui incendient la ville et l'abbaye de Saint-Germain-des-Prés :,861.0
,,869.0,Nouveau raid normand sur Paris qui pillent l’abbaye de Saint-Germain-des-Prés.,869.0
,,870.0,"Afin de protéger Paris des raids normands, construction du Grand-Pont et du Petit-Pont sur ordre de Charles le Chauve.",870.0
,,877.0,Paris est fortifié par une enceinte.,877.0
,,885.0,"28 novembre 885 : Après quatre jours d’assauts quasi permanents, les Normands doivent se résoudre à dresser un camp pour mener à bien le siège de la ville. C’est déjà une victoire pour le comte de Paris Eudes, qui dirige la défense de Paris. Pendant le siège de Paris, les Normands ravagent les environs de la cité mais tentent également des attaques contre la ville.",885.0
,,886.0,"Septembre 886 : Arrivée de l’empereur Charles le Gros qui répugne à livrer combat et préfère verser 700 livres d’argent pour faire lever le siège normand. De plus, Charles les autorise à aller ravager la Bourgogne, qui n’est pas encore entièrement soumise… Les Parisiens refusent cet accord et contraignent les Normands à démonter leurs embarcations afin de reprendre leur remontée de la Seine sans passer par Paris.",886.0
,,887.0,"Mai 887 : Nouvelle tentative de raid normand, mais les défenses parisiennes les stoppent.",887.0
,,889.0,"Juin-Juillet 889 : Nouvelle tentative de raid normand, mais les défenses parisiennes les stoppent encore.",889.0
,,910.0,Nouveau raid normand.,910.0
,,975.0,hiver rigoureux et long de novembre au 22 mars : la neige tombe encore en mai. Famine tuant le tiers de la population française et certainement la moitié des Parisiens.,974.0
,,944.0,Un orage terrible ravage Paris.,944.0
,,945.0,"Une cruelle épidémie, connue sous le nom de mal des ardents, mal sacré, mal des enfers frappe la ville. Cette épidémie est décrite dans les annales de Flodoard de Reims.",945.0
,,965.0,"Construction de l'église Saint-Barthélemy dans l'île de la Cité, qui prit plus-tard le vocable de Saint-Magloire",965.0
,,975.0,Une famine éclate pendant laquelle les hommes se dévorent entre eux.,975.0
,,978.0,30 novembre 978 : L’empereur Otton II lève le siège de Paris.,978.0
,,996.0,Fondation du prieuré de Notre-Dame-des-Champs,978.0
,,987.0,"Paris s'agrandit au nord et au sud de l'île de la Cité. Les Couvents et les églises qui étaient isolés finissent par se réunirent au moyen de constructions diverses. La ville est alors divisée en 4 parties administratives qui prendront le nom de quartiers : le quartier de la Cité, le quartier Saint-Jacques-la-Boucherie, le quartier la Verrerie et le quartier la Grève.C'est à cette époque que fut construit un mur de clôture autour du faubourg qui s'était formé au Nord de la Cité : il commençait sur le bord de la Seine, en face de la rue Pierre-à-Poisson et se dirigeait le long de la rue Saint-Denis jusqu'à la rue des Lombards ou l'on trouvait une porte. Elle passait ensuite entre la rue des Lombards et la rue Troussevache jusqu'à la rue Saint-Martin ou il y avait une porte appelée Archet-Saint-Merri. Ce mur traversait ensuite le cloitre Saint-Merri, coupait les rues du Renard, Barre-au-Bec et aboutissait rue des Billettes, ou il y avait vraisemblablement une porte. Il longeait ensuite la rue des Deux-Portes, traversait la rue de la Tixéranderie et le cloitre Saint-Jean, près duquel il y avait une porte, et finissait enligne droite sur le bord de la Seine.",987.0
,,995.0,Fondation de l'église Saint-Étienne-des-Grès,995.0
,,1000.0,Fondation de l'église Saint-Denis-de-la-Chartre,1000.0
,,1007.0,"Extinction du titre de comte de Paris, le comté revenant dans la main du roi. Le comté fut introduit par les Francs vers 480 à la place de la civitas (cité + sa zone d’influence directe, soit environ 2 500 km2 autour de Paris dans le cas de l’ex-Lutèce).",1007.0
,,1021.0,"Afflux d’étudiants à Paris pour suivre les cours du chapitre de Notre-Dame. Le premier maître illustre est l’archidiacre Albert, mort en 1040.",1021.0
,,1029.0,"Famine chronique, avec cas d’anthropophagie les trois dernières années.",1021.0
,,1040.0,"Famine chronique, qui, selon le témoignage de Raoul Glaber touche les riches et les pauvres.",1031.0
,,1034.0,Un terrible incendie détruit une grande partie de la ville.,1034.0
,,1037.0,Incendie important ravageant plusieurs quartiers.,1037.0
,,1060.0,Le roi Henri Ier fonde l'abbaye de Saint-Martin-des-Champs,1060.0
,,1074.0,Concile à Paris qui repousse l’obligation du célibat pour les prêtres.,1074.0
,,1077.0,"Hiver rigoureux et long du 1er novembre au 15 avril, le plus froid du XIe siècle.",1076.0
,,1100.0,Fondation de la léproserie Saint-Lazare,1100.0
,,1103.0,Nomination de Guillaume de Champeaux comme écolâtre de Paris. Son enseignement vaut un prestige exceptionnel à l’école de Notre-Dame.,1103.0
,,1105.0,"Épidémie, sans doute de grippe.",1105.0
,,1110.0,Fondation de l'abbaye Saint-Victor,1110.0
,,1111.0,"12 mars 1111. Les Parisiens témoignent leur fidélité au roi en repoussant une tentative de prise de la ville par Robert Ier, comte de Meulan.",1111.0
,,1112.0,Paris s’impose comme capitale des Capétiens en prenant clairement l’ascendant sur Orléans.,1112.0
,,1117.0,"Castration d’Abélard sur ordre du chanoine Fulbert, oncle d'Héloïse.",1117.0
,,1119.0,Les pluies excessives et la crue de la Seine font s'effondrer des maisons.,1119.0
,,1120.0,Installation des maîtres et élèves sur la montagne Sainte-Geneviève ; l’école de Notre-Dame était devenu trop petite.,1120.0
,,1129.0,"Épidémie de charbon pestilentielle, dit mal des ardents.",1129.0
,,1130.0,3 novembre 1130. « Miracle des Ardents ». L’épidémie est stoppée nette à la suite d'une procession des reliques de sainte Geneviève.,1130.0
,,1131.0,"2 octobre 1131. Mort de Philippe, fils aîné du roi Louis le Gros, désarçonné et tué par son cheval effrayé par un cochon circulant rue Saint-Jean. À la suite de cet accident, il sera désormais interdit de laisser les porcs circuler librement dans les rues.",1131.0
,,1137.0,"Fondation des églises Saint-Pierre-des-Arcis, de Sainte-Croix-de la Cité, de Saint-Pierre-aux-Bœufs et des Saints-Innocents.",1134.0
,,1137.0,"En remplacement du marché de la place de Grève, installation du marché neuf au lieu-dit Les Champeaux (« Petits Champs »), à l'endroit d'anciens marécages situés alors extra-muros, qui deviendra les Halles de Paris.",1137.0
,,1140.0,Juillet 1140. Condamnation par le concile de Sens de l’enseignement d’Abélard qui quitte Paris pour Cluny.,1140.0
,,1141.0,"Pour mieux pouvoir surveiller les changeurs, le roi Louis VII leur interdit d’exercer hors du pont au Change.",1141.0
,,1148.0,Dérivation de la Bièvre par les chanoines de Saint-Victor. La rivière se jette désormais dans la Seine à hauteur de l’actuelle rue de Bièvre.,1148.0
,,1150.0,Hiver rigoureux et long de début décembre à février.,1149.0
,,1150.0,Mention par saint Bernard du premier moulin à vent sur la butte Copeaux.,1150.0
,,1154.0,Début de l’assèchement par les chanoines de Sainte Opportune des marais situés entre Montmartre et la ville.,1154.0
,,1163.0,Maurice de Sully décide de reconstruire l'ancienne cathédrale Saint-Étienne en une cathédrale dédiée à Notre-Dame qui deviendra la Cathédrale Notre-Dame de Paris.,1163.0
,,1164.0,"Percement de la rue Neuve Notre Dame lors de la reconstruction de la cathédrale. Ces travaux entraînent la destruction de l’Hôtel-Dieu, qui est reconstruit au sud du parvis.",1164.0
,,1171.0,L'hôpital Saint-Jean de Latran est fondé sur une parcelle du clos Bruneau.,1171.0
,,1179.0,1er novembre : En l'absence de son père de plus en plus souffrant Philippe Auguste est sacré roi de France.,1179.0
,,1180.0,18 septembre 1180 : Mort de Louis VII le Jeune. Durant son règne le quartier de l'Université s'accrut considérablement en raison de la grande quantité d'écoliers qui y venaient de toute l'Europe pour y faire leurs études.,1180.0
,,,19 mai 1182. Consécration du maître-autel de la cathédrale Notre-Dame.,
,,1184.0,"Les principales rues de Paris commencent à être pavées grâce à la donation de 11 000 écus du financier Gérard de Poissy, et les habitants sont tenus de les balayer au droit de leurs maisons.",1184.0
,,1187.0,L'église Saint-Thomas-du-Louvre est rebâtie.,1187.0
,,1190.0,Famine chronique.,1188.0
,,1220.0,"Philippe Auguste, fait édifier une nouvelle enceinte fortifiée de Paris qui sera achevée en 1211.",1190.0
,,1194.0,"3 avril 1194. Pertes des archives royales à l’occasion de la bataille de Fréteval. Philippe Auguste décide de tout consigner désormais en double exemplaire, l’un d’eux devant rester impérativement à Paris. C’est le début de la fixation de l’administration royale, jusque-là ambulante, comme le reste de la cour.",1194.0
,,1196.0,Crue de la Seine. Des ponts de la Seine se rompent.,1196.0
,,1197.0,Famine.,1196.0
,,1197.0,Mars 1197. Crue de la Seine qui emporte les ponts de Paris.,1197.0
,,1198.0,Création d'un premier monastère à l'emplacement de Saint-Antoine-des-Champs.,1198.0
,,1200.0,Apparition des premières enseignes pour permettre l’identification des habitations privées.,1200.0
,,1200.0,"Frère Hubert, trésorier de l'ordre du Temple, fait construire la grandetour du Temple",1200.0
"class=""abbr"" title=""13ᵉ siècle"">XIIIe siècle",,,Étés chauds tout au long du siècle.,
,,1201.0,Jean d'Angleterre est logé au Louvre,1201.0
,,1202.0,Fondation de l'hôpital de la Trinité sous le nom d'hôpital de la Coix-de-la-Reine,1202.0
,,1204.0,Construction de l'église Saint-Honoré,1204.0
,,1205.0,Fondation de l'église Saint-Etienne-du-Mont et la l'église Saint-Symphorien de la Cité,1205.0
,,1206.0,"Décembre 1206, crue très importante de la Seine, au point que l'on ne peut se déplacer qu'en bateau, qui emporte trois arches du petit pont et détruit de nombreuses maisons.",1206.0
,,1210.0,Condamnation pour hérésie des disciples d’Amaury de Chartres. Ces derniers sont brûlés aux Champeaux pour avoir poussé trop loin l’étude la Métaphysique d’Aristote.,1210.0
,,1212.0,L'église Saint-Jean-en-Grève est érigée en paroisse.,1212.0
,,1212.0,L'église Saint-Eustache est érigée en cure.,1212.0
,,1214.0,Philippe-Auguste fait achever le Louvre,1214.0
,,1215.0,"Août 1215. Don de ses statuts à l’université de Paris par le légat pontifical, Robert de Courçon.",1215.0
,,1218.0,Fondation du couvent des Jacobins  dans le quartier Saint-Jacques,1218.0
,,1219.0,"Crue de la Seine,",1219.0
,,1220.0,Fin des travaux de l’enceinte de Philippe-Auguste qui protège 273 hectares. Paris compte 50 000 habitants.,1220.0
,,1221.0,Crue de la Seine puis famine.,1221.0
,,1225.0,Grande épidémie générale en Europe et à Paris.,1224.0
,,1225.0,Établissement du couvent des Filles-Dieu,1225.0
,,1229.0,"15 avril 1229. En réaction aux bagarres du 26 février, départ pour Oxford et Cambridge de nombreux maîtres et élèves.",1229.0
,,1230.0,Fondation du couvent des Cordeliers,1230.0
,,1231.0,13 avril 1231 : Fin du conflit de l’université avec la bulle Parens scientiarum qui accorde aux élèves le privilège du canon et les assimile à des clercs.,1231.0
,,1235.0,Fondation de l'église Saint-Leu et Saint-Gilles,1235.0
,,1240.0,"Sur ordre de l’évêque Guillaume d'Auvergne, réglages des sonneries des cloches par des horloges.",1240.0
,,1244.0,Construction du couvent des Bernardins,1244.0
,,1245.0,Fondation de la Sainte Chapelle,1245.0
,,1246.0,Autonomie financière et judiciaire de l’Université de Paris qui reçoit son sceau propre.,1246.0
,,,26 avril 1248 : Consécration de la Sainte-Chapelle.,
,,1250.0,"Construction de la Cura Regis, ou parlement, avec des premières sessions uniquement judiciaires. Le Parlement de Paris n’est pas un institut local mais national qui a autorité de la Picardie à l’Auvergne, des Pays de Loire à la Champagne.",1250.0
