nom,lon,lat,inception,height,constructionYear
cimetière de Montmartre,2.3302777777777997,48.887777777778,1825-01-01T00:00:00Z,,1825
gare de Paris-Lyon,2.3736111111111002,48.844722222222,1847-01-01T00:00:00Z,,1847
lycée Charlemagne,2.36083333,48.85444444,1802-01-01T00:00:00Z,,1802
Bréguet - Sabin,2.37054,48.85675,1906-01-01T00:00:00Z,,1906
gare de Denfert-Rochereau,2.332778,48.833333,1846-06-07T00:00:00Z,,1846
Bataclan,2.3708333333333,48.863055555556,1865-01-01T00:00:00Z,,1865
jardin des Tuileries,2.3261111111111,48.863888888889,1564-01-01T00:00:00Z,,1564
Petit Palais,2.31455278,48.86603333,1902-01-01T00:00:00Z,,1902
musée national des Arts asiatiques - Guimet,2.2939,48.8653,1889-01-01T00:00:00Z,,1889
Olympia,2.3283333333333,48.87027777777799,1893-01-01T00:00:00Z,,1893
moulin de la Galette,2.3370833333333,48.887361111111005,1622-01-01T00:00:00Z,,1622
hôpital de la Salpêtrière,2.365,48.836999999999996,1656-01-01T00:00:00Z,,1656
Gambetta,2.39833,48.86472,1905-01-25T00:00:00Z,,1905
lycée Louis-le-Grand,2.344528,48.848056,1563-10-11T00:00:00Z,,1563
chapelle expiatoire,2.322778,48.873611,1815-01-01T00:00:00Z,,1815
Bouillon Chartier,2.34365,48.873438,1896-01-01T00:00:00Z,,1896
église Saint-Philippe-du-Roule,2.3105599999999997,48.8734,1784-01-01T00:00:00Z,,1784
cirque d'hiver,2.3675305555556,48.863369444444,1852-01-01T00:00:00Z,,1852
synagogue de la rue des Tournelles,2.367178,48.855259999999994,1876-01-01T00:00:00Z,,1876
hôpital Lariboisière,2.35305556,48.88305556,1854-01-01T00:00:00Z,,1854
église Sainte-Marie des Batignolles,2.3177777777777995,48.886666666667004,1851-01-01T00:00:00Z,,1851
chapelle de Jésus-Enfant,2.318339,48.858969,1878-01-01T00:00:00Z,,1878
hôtel de ville de Paris,2.3522220000000003,48.856389,1357-01-01T00:00:00Z,,1357
pont de la Concorde,2.31944,48.86333,1787-01-01T00:00:00Z,,1787
piscine Molitor,2.2533333333332997,48.845277777777994,1929-01-01T00:00:00Z,,1929
hôtel Ritz,2.3289,48.868,1898-01-01T00:00:00Z,,1898
château de Vincennes,2.4358333333332998,48.842777777778,1340-01-01T00:00:00Z,,1340
église Sainte-Anne de la Butte-aux-Cailles,2.35,48.8261,1912-01-01T00:00:00Z,,1912
Réaumur - Sébastopol,2.3520352552543,48.866311830187996,1904-01-01T00:00:00Z,,1904
hôtel de Crillon,2.321389,48.867222,1909-01-01T00:00:00Z,,1909
fontaine Saint-Michel,2.3437,48.85314444,1860-01-01T00:00:00Z,,1860
jardin des plantes de Paris,2.3597222222222003,48.843888888889,1635-01-01T00:00:00Z,,1635
École normale supérieure,2.3444444444443997,48.841944444443996,1794-10-30T00:00:00Z,,1794
Ménilmontant,2.383626,48.866211,1903-01-01T00:00:00Z,,1903
palais de justice de Paris,2.3450509999999998,48.855722,1868-01-01T00:00:00Z,,1868
Père Lachaise,2.3875,48.86306,1903-02-25T00:00:00Z,,1903
église Notre-Dame-de-la-Croix de Ménilmontant,2.3868555555556004,48.868483333332996,1880-01-01T00:00:00Z,,1880
À l'enseigne du lion d'or,2.36327778,48.87305556,1900-01-01T00:00:00Z,,1900
Lipp,2.3326279999999997,48.854122,1880-01-01T00:00:00Z,,1880
colonne de Juillet,2.3691666666667004,48.853055555556004,1830-01-01T00:00:00Z,,1830
école normale de musique de Paris,2.3088900000000003,48.88389,1919-01-01T00:00:00Z,,1919
école nationale de la France d'outre-mer,2.33642,48.84422,1934-01-01T00:00:00Z,,1934
église Notre-Dame-de-Bonne-Nouvelle,2.3497220000000003,48.869444,1830-03-25T00:00:00Z,,1830
cimetière de Picpus,2.4002777777777995,48.843888888889,1640-01-01T00:00:00Z,,1640
square Louis-XIII,2.3654900000000003,48.8557,1682-01-01T00:00:00Z,,1682
pont de Bir-Hakeim,2.2877777777777997,48.855555555556,1905-01-01T00:00:00Z,,1905
Folies Bergère,2.345,48.87416667,1869-01-01T00:00:00Z,,1869
église de la Madeleine,2.3241666666667005,48.87,1845-01-01T00:00:00Z,,1845
abbaye de Penthemont,2.32194444,48.85638889,1201-01-01T00:00:00Z,,1201
pont Neuf,2.3416166666667,48.85744722222201,1578-01-01T00:00:00Z,,1578
théâtre de Paris,2.331612,48.878405,1891-01-01T00:00:00Z,,1891
théâtre de la Madeleine,2.32038,48.8709,1924-01-01T00:00:00Z,,1924
pont Alexandre-III,2.3136099999999997,48.863609999999994,1900-01-01T00:00:00Z,,1900
institut Pasteur,2.3116666666667003,48.84,1887-01-01T00:00:00Z,,1887
grande mosquée de Paris,2.355,48.841944444443996,1926-01-01T00:00:00Z,,1926
église Saint-François-Xavier de Paris,2.3133333333332997,48.850555555556,1873-01-01T00:00:00Z,,1873
hôtel de Lauzun,2.3591666666667,48.851666666667,1658-01-01T00:00:00Z,,1658
pont d'Iéna,2.292222,48.859722,1814-01-01T00:00:00Z,,1814
maison de Balzac,2.2808333333333,48.855277777778,1949-01-01T00:00:00Z,,1949
jardin d'agronomie tropicale,2.4659999999999997,48.833,1899-01-01T00:00:00Z,,1899
église Saint-Germain-l'Auxerrois,2.341111,48.859444,1220-01-01T00:00:00Z,,1220
fontaine de Jarente,2.36344444,48.85572222,1783-01-01T00:00:00Z,,1783
galerie de Paléontologie et d'Anatomie comparée,2.3560119999999998,48.841086,1898-01-01T00:00:00Z,,1898
théâtre du Châtelet,2.3463888888889,48.857777777778,1862-01-01T00:00:00Z,,1862
institut catholique de Paris,2.3295,48.8478,1875-01-01T00:00:00Z,,1875
cathédrale Saint-Alexandre-Nevsky,2.3019916666667,48.877558333333,1847-01-01T00:00:00Z,,1847
Villiers,2.31472,48.88111,1903-01-01T00:00:00Z,,1903
basilique Sainte-Clotilde,2.3191666666667,48.85833333333299,1857-11-30T00:00:00Z,,1857
hôtel Lutetia,2.3275,48.851111111111,1910-01-01T00:00:00Z,,1910
église Saint-Pierre-de-Montrouge,2.3270277777777997,48.828638888888996,1872-01-01T00:00:00Z,,1872
église Notre-Dame-d'Auteuil,2.2694444444444,48.847222222222,1892-01-01T00:00:00Z,,1892
passage Brady,2.3552777777777996,48.871125,1828-01-01T00:00:00Z,,1828
synagogue de la rue Pavée,2.3604861111111,48.85597222222201,1914-01-01T00:00:00Z,,1914
synagogue Nazareth,2.360128,48.866853000000006,1852-01-01T00:00:00Z,,1852
église Saint-Nicolas-du-Chardonnet,2.3502777777777997,48.849166666667,1703-01-01T00:00:00Z,,1703
musée d'Ennery,2.2813888888889,48.871666666667004,1908-01-01T00:00:00Z,,1908
église Saint-Jean de Montmartre,2.3378833333333,48.884105555556005,1904-01-01T00:00:00Z,,1904
église Notre-Dame-des-Blancs-Manteaux,2.3577779999999997,48.858610999999996,1690-01-01T00:00:00Z,,1690
église Saint-Leu-Saint-Gilles,2.3497220000000003,48.862778000000006,1235-01-01T00:00:00Z,,1235
église Sainte-Élisabeth-de-Hongrie,2.360278,48.865833,1628-01-01T00:00:00Z,,1628
salle Pleyel,2.3010361111111,48.876994444444,1839-01-01T00:00:00Z,,1839
passage du Grand-Cerf,2.34925,48.864814,1825-01-01T00:00:00Z,,1825
musée national Eugène-Delacroix,2.3354,48.8546,1971-01-01T00:00:00Z,,1971
Sentier,2.346387,48.867569,1904-01-01T00:00:00Z,,1904
Le Train bleu,2.3733333333332998,48.845,1901-01-01T00:00:00Z,,1901
palais Brongniart,2.3408277777777995,48.869169444444,1825-11-01T00:00:00Z,,1825
ménagerie du Jardin des plantes,2.360325,48.845446,1794-12-11T00:00:00Z,,1794
théâtre Le Ranelagh,2.27786,48.85447,1900-01-01T00:00:00Z,,1900
cathédrale américaine de Paris,2.3008333333332995,48.8675,1881-01-01T00:00:00Z,,1881
église du Val-de-Grâce,2.3419444444443998,48.840555555556,1667-01-01T00:00:00Z,,1667
Élysée Montmartre,2.3433333333333,48.883055555556,1807-01-01T00:00:00Z,,1807
église Saint-Ambroise,2.37556389,48.86106667,1910-12-07T00:00:00Z,,1910
abbaye de Port-Royal de Paris,2.3384,48.838763,1566-01-01T00:00:00Z,,1566
cathédrale grecque Saint-Étienne de Paris,2.2986,48.8666,1890-01-01T00:00:00Z,,1890
Centquatre-Paris,2.36989167,48.89016667,2008-10-01T00:00:00Z,,2008
centre hospitalier Sainte-Anne,2.33845,48.8287,1651-01-01T00:00:00Z,,1651
chapelle Notre-Dame-de-Consolation de Paris,2.3060277777777998,48.865555555556,1901-01-01T00:00:00Z,,1901
chapelle du Père-Lachaise,2.3928700000000003,48.8612,1823-01-01T00:00:00Z,,1823
château de Bagnolet,2.40625,48.861944444444,1738-01-01T00:00:00Z,,1738
cimetière des Juifs Portugais de Paris,2.3730599999999997,48.8867,1780-01-01T00:00:00Z,,1780
cité Berryer,2.3229900000000003,48.8691,1745-01-01T00:00:00Z,,1745
cité de Trévise,2.3469900000000004,48.8751,1840-01-01T00:00:00Z,,1840
cloître et église des Billettes,2.355,48.858000000000004,1758-01-01T00:00:00Z,,1758
collège Stanislas,2.32726,48.84414,1804-01-01T00:00:00Z,,1804
pagode de Vincennes,2.415,48.82861111,1931-01-01T00:00:00Z,,1931
cour du Commerce-Saint-André,2.33908,48.853,1776-01-01T00:00:00Z,,1776
couvent des Grands-Augustins,2.33352,48.8567,1263-01-01T00:00:00Z,,1263
crédit municipal de Paris,2.357319,48.858942,1637-01-01T00:00:00Z,,1637
façade du palais de la porte Dorée,2.40916,48.835,1929-01-01T00:00:00Z,,1929
fondation Deutsch de la Meurthe,2.335,48.82027778,1925-01-01T00:00:00Z,,1925
fontaine du jardin Villemin,2.36163,48.8751,1846-01-01T00:00:00Z,,1846
galerie de la Madeleine,2.32269,48.8697,1846-01-01T00:00:00Z,,1846
Grand-Salle du Palais de la Cité,2.34543,48.855166,1300-01-01T00:00:00Z,,1300
grande fresque de la gare de Lyon,2.37467,48.8448,1900-01-01T00:00:00Z,,1900
passage des Panoramas,2.3416666666667,48.871111111111,1800-01-01T00:00:00Z,,1800
prison de La Force,2.3555599999999997,48.8556,1780-01-01T00:00:00Z,,1780
hôtel Cail,2.3175,48.8775,1865-01-01T00:00:00Z,,1865
colonne Vendôme,2.329414,48.867469,1800-01-01T00:00:00Z,44.0,1800
pont Mirabeau,2.27639,48.84639,1896-01-01T00:00:00Z,15.0,1896
tombe de Frédéric Chopin,2.3927777777777997,48.86,1850-01-01T00:00:00Z,45.0,1850
tour Eiffel,2.294479,48.858296,1887-01-01T00:00:00Z,300.0,1887
