nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions,birthYear,deathYear
Simon de Dammartin,1180-01-01T00:00:00Z,,1239-09-28T00:00:00Z,,,1180.0,1239.0
Guillaume Sanguin,,,1442-02-23T00:00:00Z,,,,1442.0
Nicolas Dipre,1460-01-01T00:00:00Z,Paris,1532-01-01T00:00:00Z,Paris,,1460.0,1532.0
Guillaume Cousinot le Chancelier,1350-01-01T00:00:00Z,,,,,1350.0,
Jean Cousin,1401-01-01T00:00:00Z,,1599-01-01T00:00:00Z,,,1401.0,1599.0
Jean de Dammartin,1350-01-01T00:00:00Z,Jargeau,1454-01-01T00:00:00Z,Tours,,1350.0,1454.0
Jean de Flandre,1250-01-01T00:00:00Z,,1292-10-14T00:00:00Z,Namur,"évêque de Metz, prince-évêque de Liège",1250.0,1292.0
Pierre du Val,1500-01-01T00:00:00Z,,1558-01-01T00:00:00Z,,,1500.0,1558.0
Jean Le Jeune,1411-01-01T00:00:00Z,Arras,1451-09-18T00:00:00Z,Rome,"cardinal, évêque catholique, évêque diocésain",1411.0,1451.0
Roger Ier de Blois,,,1022-06-24T00:00:00Z,,"évêque de Beauvais, Noyon et Senlis",,1022.0
Jean de Brienne,1158-01-01T00:00:00Z,,1237-03-30T00:00:00Z,Constantinople,roi,1158.0,1237.0
Jean de Dreux,1198-01-01T00:00:00Z,,1239-11-01T00:00:00Z,Palestine,,1198.0,1239.0
Jean de Gand,1340-07-02T00:00:00Z,Gand,1399-02-11T00:00:00Z,château Leicester,Lord Grand Intendant,1340.0,1399.0
Pierre de La Chapelle-Taillefert,1300-01-01T00:00:00Z,La Chapelle-Taillefert,1312-05-24T00:00:00Z,Avignon,cardinal-évêque,1300.0,1312.0
Jean Changenet,,Provence,1493-01-01T00:00:00Z,,,,1493.0
Renaud Ier de Craon,1060-01-01T00:00:00Z,,1101-01-01T00:00:00Z,,,1060.0,1101.0
Pierre Leclerc,1500-01-01T00:00:00Z,,1546-10-06T00:00:00Z,Meaux,,1500.0,1546.0
Pierre de Montreuil,1200-01-01T00:00:00Z,Montreuil,1267-03-24T00:00:00Z,Paris,,1200.0,1267.0
