date,evenement,startDate,endDate
451,Sainte Geneviève rassure les Parisiens face à l'approche d'Attila.,451.0,451.0
Vers 460,Sainte Geneviève fait bâtir une basilique sur le tombeau de saint Denis.,460.0,460.0
Vers 463,"Entrée de Childéric 1er, roi des Francs saliens, à Paris.",463.0,463.0
Vers 486,"Son fils, Clovis, roi des  Francs, s'empare de Paris sans combat.",486.0,486.0
3 janvier 502 ou 503,Mort de sainte Geneviève qui sera inhumée sur la colline méridionale.,503.0,503.0
Vers 505-510,Clovis et son épouse font bâtir la basilique des Saints-Apôtres [Sainte-Geneviève].,505.0,510.0
508,Clovis fait de Lutèce le siège de son royaume.,508.0,508.0
511,Heraclius est évêque de Paris.,511.0,511.0
27 novembre 511,"Clovis meurt et Childebert, son fils, devient roi de Paris.",511.0,511.0
Entre 511 et 558,Childebert fait élever la cathédrale Saint-Étienne dans l'Ile de la Cité.,558.0,558.0
526,Deux des trois fils de Clodomir sont tués par Clotaire.,526.0,526.0
533,Amelius est évêque de Paris.,533.0,533.0
Vers 540,Mort de saint Séverin ; il est inhumé au sud-ouest de Paris.,540.0,540.0
543,Childebert revient d'Espagne avec deux reliques de saint Vincent.,543.0,543.0
Vers 544,Childebert entreprend la construction d'un monastère.,544.0,544.0
545,Saffaracus est évêque de Paris.,545.0,545.0
Vers fin 545,Le corps de Clotilde est rapporté à Paris et enterré aux cotés de Clovis.,545.0,545.0
552-553,"2e Concile de Paris, organisé pour juger l'évêque de Paris Saffaracus.",552.0,553.0
553,Eusebius remplace l'évêque Saffaracus déposé au Concile de Paris.,553.0,553.0
555,Mort d'Eusebius évêque de Paris. Childebert nomme Germain pour lui succéder.,555.0,555.0
24 novembre 555,Mort de l'ermite [saint] Séverin.,555.0,555.0
23 décembre 558,Germain dédicace l'église Saint-Vincent et Sainte-Croix [Saint-Germain-des-Prés].,558.0,558.0
23 décembre 558,"Childebert, qui vient de mourir, est enseveli dans l'église Saint-Vincent.",558.0,558.0
561,"Chilpéric, fils de Clotaire, s'empare de Paris puis en est chassé par ses frères.",561.0,561.0
Fin 561,"Charibert, frère de Chilpéric, succède à Childebert à Paris.",561.0,561.0
Décembre 576,Chilpéric revient à Paris.,576.0,576.0
28 mai 576,"Mort de [saint] Germain, évêque de Paris ; il est enseveli dans l'église Saint-Vincent.",576.0,576.0
Fin 576,Ragnemod est évêque de Paris.,576.0,576.0
577,"Concile de Paris pour juger Prétextat, évêque de Rouen.",577.0,577.0
580,L'évêque Grégoire de Tours est de passage à Paris.,580.0,580.0
582,Chilpéric ordonne à tous les Juifs de se faire baptiser. Assassinat du Juif Priscus.,582.0,582.0
583,"Leudaste, ancien comte de Tours, est pris à Paris et mis à mort par Frédégonde.",583.0,583.0
Février 584,Crue de la Seine. Naufrage d'un navire près de l'église Saint-Laurent.,584.0,584.0
Fin septembre 584,"Chilpéric assassiné à Chelles, est inhumé à Saint-Vincent.",584.0,584.0
585,Incendie dans l'Ile de la Cité ; l'oratoire Saint-Martin est miraculeusement épargné.,585.0,585.0
28 novembre 587,"Partage de Paris entre Gontran, frère de Chilpéric, et son neveu Childebert II.",587.0,587.0
597,"Frédégonde, veuve de Chilpéric, s'empare de Paris.",597.0,597.0
605,"Thierry, fils de Childebert II, reprend la ville.",605.0,605.0
613,Clotaire II s'empare à son tour de Paris.,613.0,613.0
614,Ceran [ou Céraune] est évêque de Paris.,614.0,614.0
18 octobre 614,Fin du concile des évêques en l'église Saint-Pierre-Saint-Paul [Sainte-Geneviève].,614.0,614.0
625,Léodebert est évêque de Paris.,625.0,625.0
18 octobre 629,Mort de Clotaire II ; funérailles à Saint-Vincent-Sainte-Croix. ,629.0,629.0
633,"Éloi fonde, dans l'ile de la Cité,  un monastère dédié à saint Martial de Limoges.",633.0,633.0
636,Un édit du roi Dagobert chasse de Paris les Juifs qui refusent de se convertir.,636.0,636.0
13 janvier 639,Paris apprend la mort de Dagobert.,639.0,639.0
644,Audebert [ou Aubert] est évêque de Paris.,644.0,644.0
652,Landry est évêque de Paris.,652.0,652.0
Vers 652,[Saint] Landry rassemble les malades dans un Hôtel-Dieu.,652.0,652.0
656,Chrotbert est évêque de Paris.,656.0,656.0
666,La peste touche la Cité et emporte près de 150 religieuses du monastère Saint-Éloi.,666.0,666.0
Octobre 666,"[Sainte] Aure, abbesse de Saint-Éloi, est inhumée au cimetière Saint-Paul.",666.0,666.0
653,"6e Concile de Paris, sous le règne de Clovis II.",653.0,653.0
673,Agilbert est évêque de Paris.,673.0,673.0
673,Childeric II est enterré au monastère Saint-Vincent.,673.0,673.0
15 mai 680,"Ebroïn, maire du Palais de Neustrie, a été assassiné.",680.0,680.0
690,Sigefroi est évêque de Paris.,690.0,690.0
693,Turnoald est évêque de Paris.,693.0,693.0
700,Saint Merry est inhumé dans la chapelle Saint-Pierre-des-Bois [Saint-Merry].,700.0,700.0
717,Chilpéric II fait un séjour à Paris.,717.0,717.0
724,[Saint] Hugues de Rouen est évêque de Paris.,724.0,724.0
7 avril 730,Mort de l'évêque Hugues qui sera inhumé dans la cathédrale Saint-Étienne.,730.0,730.0
25 juillet 756,Le corps de saint Germain est transféré de l'atrium au chour de l'église Saint-Vincent.,756.0,756.0
757,Déofroi est évêque de Paris.,757.0,757.0
24 septembre 768,"Mort de Pépin le Bref. Son fils, Carloman reçoit Paris dans son héritage.",768.0,768.0
771,Mort de Carloman. Son frère Charles [Charlemagne] reçoit Paris dans son héritage.,771.0,771.0
775,Erchanrade est évêque de Paris.,775.0,775.0
800,Charlemagne et sa fille Théodrade sont de passage à Paris.,800.0,800.0
813,Charlemagne ordonne que soient punis les manquements à la corvée du guet.,813.0,813.0
814,Inchald est évêque de Paris.,814.0,814.0
28 janvier 814,Mort de Charlemagne. Son fils Louis [le Pieux] lui succède.,814.0,814.0
814,Louis le Pieux visite les églises parisiennes.,814.0,814.0
826,6e Concile de Paris pour examiner la question du culte des images.,826.0,826.0
Juin 829,7e Concile de Paris. Approbation du partage des biens entre l'évêque et le chapitre.,829.0,829.0
832,Erchanrade le Jeune est évêque de Paris.,832.0,832.0
834,Débordement de la Seine.,834.0,834.0
