nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Sainte Geneviève,0423-01-01T00:00:00Z,Nanterre,0502-01-01T00:00:00Z,Paris,
Attila,0406-09-03T00:00:00Z,Caucase,0453-03-01T00:00:00Z,Pannonie,roi des Huns
saint Denis de Paris,0201-01-01T00:00:00Z,Italie,0250-01-01T00:00:00Z,Lutèce,évêque catholique
Childéric Ier,0436-01-01T00:00:00Z,t1789819719,0481-01-01T00:00:00Z,Tournai,roi des Francs
Clovis de Hohenlohe-Schillingsfürst,1819-03-31T00:00:00Z,Rotenburg an der Fulda,1901-07-06T00:00:00Z,Bad Ragaz,"chancelier d'Allemagne, ambassadeur, ministre-président de Prusse, ministre-président de Bavière, chancelier impérial, membre du Reichstag de l'Empire allemand, membre du Zollparlament"
Héraclonas,0618-01-01T00:00:00Z,Royaume de Lazique,0641-01-01T00:00:00Z,Rhodes,empereur byzantin
Childebert IV,0678-01-01T00:00:00Z,t1789839105,0711-04-18T00:00:00Z,Saint-Étienne,roi des Francs
Clodomir,0495-01-01T00:00:00Z,t1796844303,0524-06-23T00:00:00Z,Vézeronce-Curtin,roi des Francs
Clotaire Ier,0498-01-01T00:00:00Z,Soissons,0561-12-01T00:00:00Z,Soissons,roi des Francs
Amielh de Lautrec,1301-01-01T00:00:00Z,Occitanie,1390-06-07T00:00:00Z,Avignon,"cardinal, évêque catholique"
Vincent de Saragosse,0300-01-01T00:00:00Z,Saragosse,0304-01-01T00:00:00Z,Valence,
Saffaracus,0550-01-01T00:00:00Z,,,,"archevêque, évêque catholique"
Clotilde,0475-01-01T00:00:00Z,Lyon,0545-06-03T00:00:00Z,Tours,roi des Francs
Eusèbe de Césarée,0265-01-01T00:00:00Z,Césarée,0339-05-01T00:00:00Z,Césarée,évêque
Germaine de Foix,1486-01-01T00:00:00Z,Mazères,1536-10-25T00:00:00Z,Llíria,roi consort d'Espagne
Boèce,0480-01-01T00:00:00Z,Rome,0524-10-27T00:00:00Z,Pavie,sénateur romain
Léon XIII,1810-03-02T00:00:00Z,Carpineto Romano,1903-07-20T00:00:00Z,palais du Vatican,"pape, cardinal, nonce apostolique, camerlingue de la Sainte Église romaine, évêque catholique, évêque diocésain, archevêque catholique, archevêque titulaire"
Catherine d'Alexandrie,0287-01-01T00:00:00Z,Alexandrie,0305-01-01T00:00:00Z,Alexandrie,
Paul de Tarse,0005-01-01T00:00:00Z,Tarse,0067-01-01T00:00:00Z,Rome,apôtre
Chilpéric II,0670-01-01T00:00:00Z,t1792051538,0721-02-17T00:00:00Z,Nyon,roi des Francs
Caribert Ier,0520-01-01T00:00:00Z,t1801018466,0567-01-01T00:00:00Z,Chelles,roi des Francs
Prétextat de Rouen,0450-01-01T00:00:00Z,,0586-02-25T00:00:00Z,Rouen,"archevêque, évêque catholique"
Grégoire de Tours,0538-12-02T00:00:00Z,Clermont-Ferrand,0594-11-01T00:00:00Z,Tours,évêque
Frédégonde,0545-01-01T00:00:00Z,Montdidier,0597-12-10T00:00:00Z,Paris,roi des Francs
Laurent-Désiré Kabila,1939-11-27T00:00:00Z,Moba,2001-01-16T00:00:00Z,Kinshasa,président de la République démocratique du Congo
Martin Luther,1483-11-19T00:00:00Z,Lutherstadt Eisleben,1546-02-28T00:00:00Z,Lutherstadt Eisleben,professeur d'université
Gontran,0532-01-01T00:00:00Z,Soissons,0592-03-30T00:00:00Z,Chalon-sur-Saône,roi des Francs
Childebert IV,0678-01-01T00:00:00Z,t1792050884,0711-04-18T00:00:00Z,Saint-Étienne,roi des Francs
Thierry IV,0712-01-01T00:00:00Z,t1792014548,0737-01-01T00:00:00Z,t1792014546,roi des Francs
Clotaire II,0584-01-01T00:00:00Z,t1791789442,0629-10-21T00:00:00Z,t1791789441,roi des Francs
Ceran de Hault de Lassus de Saint Vrain,1802-05-05T00:00:00Z,Saint-Louis,1870-10-28T00:00:00Z,Mora,
Paul de Tarse,0005-01-01T00:00:00Z,Tarse,0067-01-01T00:00:00Z,Rome,apôtre
Éloi de Noyon,0588-01-01T00:00:00Z,Chaptelat,0660-12-04T00:00:00Z,Noyon,évêque catholique
Dagobert III,0698-01-01T00:00:00Z,t1789345170,0715-01-01T00:00:00Z,t1789345172,roi des Francs
Audebert de Montmorillon,,,,,archevêque
Albert Ier,1336-07-25T00:00:00Z,Munich,1404-12-13T00:00:00Z,La Haye,duc de Bavière
Landry de Paris,0700-01-01T00:00:00Z,Paris,0700-01-01T00:00:00Z,Paris,"évêque catholique, évêque de Paris"
Clovis II,0635-01-01T00:00:00Z,t1789820809,0657-01-01T00:00:00Z,Saint-Denis,roi des Francs
Agilbert de Paris,0650-01-01T00:00:00Z,,0673-03-10T00:00:00Z,,"évêque catholique, évêque diocésain"
Childéric III,0714-01-01T00:00:00Z,t1791293329,t1791293342,t1791293336,roi des Francs
Ébroïn,0650-01-01T00:00:00Z,,0681-01-01T00:00:00Z,,maire du palais
Sigefroi Ier,t1793934329,,1084-02-22T00:00:00Z,abbaye de Hasungen,"abbé, archevêque de Mayence, archevêque catholique"
Chilpéric II,0670-01-01T00:00:00Z,t1789839234,0721-02-17T00:00:00Z,Nyon,roi des Francs
Hugues Capet,0940-01-01T00:00:00Z,Dourdan,0996-10-29T00:00:00Z,Les Juifs,roi des Francs
Germain Delavigne,1790-02-01T00:00:00Z,Giverny,1868-11-03T00:00:00Z,Montmorency,
Pépin le Bref,0714-01-01T00:00:00Z,Liège,0768-09-28T00:00:00Z,Saint-Denis,"maire du palais, roi des Francs"
Carloman de Bavière,0830-01-01T00:00:00Z,t1794231966,0880-09-26T00:00:00Z,Altötting,duc de Bavière
Charles Aznavour,1924-05-22T00:00:00Z,Paris,2018-10-01T00:00:00Z,Mouriès,ambassadeur d'Arménie
Charlemagne,0742-01-01T00:00:00Z,Royaume des Francs,0814-02-01T00:00:00Z,Aix-la-Chapelle,"empereur romain germanique, roi des Francs, roi des Lombards, duc de Bavière"
Theodrade,0785-01-01T00:00:00Z,t5619027,t5618962,t5618996,abbesse
Saint Louis,1214-05-02T00:00:00Z,Poissy,1270-09-01T00:00:00Z,Tunis,roi de France
Louis le Pieux,0778-04-20T00:00:00Z,Chasseneuil-du-Poitou,0840-06-24T00:00:00Z,Ingelheim am Rhein,"roi des Francs, duc de Bavière"
Charles II le Chauve,0823-06-13T00:00:00Z,Francfort-sur-le-Main,0877-10-06T00:00:00Z,Avrieux,roi de Francie occidentale
Lothar Franz von Schönborn,1655-10-04T00:00:00Z,Hanau,1729-01-30T00:00:00Z,Mayence,"prince-électeur, évêque catholique, évêque diocésain, archevêque de Mayence, archevêque catholique"
