nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Nicolas Arnoul,1608-11-18T00:00:00Z,Paris,1674-10-18T00:00:00Z,Marseille,
Jean Baudoin,1590-01-01T00:00:00Z,Pradelles,1650-01-01T00:00:00Z,Paris,fauteuil 18 de l'Académie française
Nicolas Braque,,,,,
Jean Broutin,1953-06-27T00:00:00Z,,,,
Robert Chauvin,1920-07-09T00:00:00Z,Metz,1942-01-01T00:00:00Z,,
Jean Cornu,1650-01-01T00:00:00Z,Paris,1710-01-01T00:00:00Z,,
Simon de Dammartin,1180-01-01T00:00:00Z,,1239-09-28T00:00:00Z,,
Pierre Gaultier de Varennes et de La Vérendrye,1685-11-17T00:00:00Z,Trois-Rivières,1749-12-05T00:00:00Z,Montréal,
Pierre Henry-Larivière,1761-12-06T00:00:00Z,Falaise,1838-11-03T00:00:00Z,Paris,membre du Conseil des Cinq-Cents
Jacques Fontaine,1658-01-01T00:00:00Z,,1728-01-01T00:00:00Z,,
Jean Maillard,,,,,
Jean Maillard,,,,,
"Jean, Marceau Meunier",1750-09-04T00:00:00Z,Orléans,1814-03-03T00:00:00Z,Orléans,membre du Conseil des Cinq-Cents
Guillaume Marcellin Proteau,1772-05-02T00:00:00Z,Groix,1837-09-21T00:00:00Z,Lorient,
Martin Martinásek,1888-11-11T00:00:00Z,,,,parlementaire
Nicolas IV Potier,1505-01-01T00:00:00Z,,1628-01-01T00:00:00Z,La Rochelle,Secrétaire d'État des Affaires étrangères
Jean Regnault de Segrais,1624-08-22T00:00:00Z,Caen,1701-03-25T00:00:00Z,Caen,fauteuil 6 de l'Académie française
Pierre Rémond,1924-11-11T00:00:00Z,Paris,2004-06-04T00:00:00Z,,"maire, député, maire d'arrondissement"
Georges Guillaume Roger,1867-01-01T00:00:00Z,Paris,1943-01-01T00:00:00Z,,
Guillaume Sanguin,,,1442-02-23T00:00:00Z,,
Guillaume Sanguin,,,1442-02-23T00:00:00Z,,
Jean Thibault,1923-06-06T00:00:00Z,Chabris,,,"maire, député"
Nicolas Dipre,1460-01-01T00:00:00Z,Paris,1532-01-01T00:00:00Z,Paris,
Jean de Beaumont,1904-01-13T00:00:00Z,Paris,2002-06-12T00:00:00Z,Paris,"vice-président, président, député"
Hugues Boucher,1953-01-01T00:00:00Z,,,,
Charles Nodier,1780-04-29T00:00:00Z,Besançon,1844-01-27T00:00:00Z,Paris,fauteuil 25 de l'Académie française
Jean Colin,1923-03-21T00:00:00Z,,2006-05-04T00:00:00Z,,"sénateur, conseiller régional d'Île-de-France, maire de Longjumeau"
Guillaume Cousinot le Chancelier,1350-01-01T00:00:00Z,,,,
Jean Cousin,1401-01-01T00:00:00Z,,1599-01-01T00:00:00Z,,
Jean de Dammartin,1350-01-01T00:00:00Z,Jargeau,1454-01-01T00:00:00Z,Tours,
Jean de Flandre,1250-01-01T00:00:00Z,,1292-10-14T00:00:00Z,Namur,"évêque de Metz, prince-évêque de Liège"
Pierre du Val,1500-01-01T00:00:00Z,,1558-01-01T00:00:00Z,,
Q50844227,1894-07-20T00:00:00Z,,1970-05-03T00:00:00Z,,préfet
Jean Hutin,,,,,
Jean Le Jeune,1411-01-01T00:00:00Z,Arras,1451-09-18T00:00:00Z,Rome,"cardinal, évêque catholique, évêque diocésain"
Nicolas Maulini,1981-01-05T00:00:00Z,Genève,,,
Robert de Milly,,,,,
Simon Paquet,,,,,
Jean Pasquier,1550-01-01T00:00:00Z,Sézanne,,,
Jean Poiret,1926-08-17T00:00:00Z,Paris,1992-03-14T00:00:00Z,Suresnes,
Guillaume Poitevin,1646-10-02T00:00:00Z,Boulbon,1706-01-26T00:00:00Z,Aix-en-Provence,
Jacky Ravenel,1943-06-03T00:00:00Z,,,,
Jean Badin,1948-01-24T00:00:00Z,,,,
Jean de Beaumont,1904-01-13T00:00:00Z,Paris,2002-06-12T00:00:00Z,Paris,"vice-président, président, député"
Roger Ier de Blois,,,1022-06-24T00:00:00Z,,"évêque de Beauvais, Noyon et Senlis"
Q68864040,,,,,"évêque auxiliaire, évêque catholique, évêque titulaire"
Jean Boileau,1924-06-19T00:00:00Z,Pointe-Claire,2005-07-01T00:00:00Z,Trois-Rivières,
Pierre Boileau,1948-08-09T00:00:00Z,,,,"maire de Ludres, conseiller municipal de Ludres, conseiller de la Métropole du Grand Nancy"
Simon Bonenfant,1982-09-11T00:00:00Z,Canada,,,
Pierre Boudet,1799-09-30T00:00:00Z,Tarn-et-Garonne,1844-10-04T00:00:00Z,Tarn-et-Garonne,député de Tarn-et-Garonne
Pierre Bourdet,1941-11-23T00:00:00Z,,,,
Jean Bourdon,1601-01-01T00:00:00Z,Rouen,1668-01-01T00:00:00Z,Québec,
Jean de Brienne,1158-01-01T00:00:00Z,,1237-03-30T00:00:00Z,Constantinople,roi
Jean Briner,1876-07-28T00:00:00Z,Rieden ZH,1967-03-29T00:00:00Z,Zurich,conseiller national suisse
Pierre Brisset,1898-03-11T00:00:00Z,Crouay,1981-07-30T00:00:00Z,Angles-sur-l'Anglin,préfet de l'Aube
Jean Daniélou,1905-05-14T00:00:00Z,France,1974-05-20T00:00:00Z,17e arrondissement de Paris,"cardinal, évêque catholique, doyen, archevêque titulaire, fauteuil 37 de l'Académie française"
Pierre Chevalier,1927-09-22T00:00:00Z,Ydes,2002-05-30T00:00:00Z,Vernon,Membre du Conseil économique et social
Pierre Coquet,1926-01-01T00:00:00Z,Limas,,,
Q24566956,1707-05-27T00:00:00Z,Bützow,1767-08-23T00:00:00Z,Londres,
Q24566956,1707-05-27T00:00:00Z,Bützow,1767-08-23T00:00:00Z,Londres,
Jean de Dreux,1198-01-01T00:00:00Z,,1239-11-01T00:00:00Z,Palestine,
Q5624967,1863-06-24T00:00:00Z,,1918-10-21T00:00:00Z,Utrecht,
Pierre du Bois de Dunilac,1943-05-05T00:00:00Z,canton de Berne,2007-06-23T00:00:00Z,,
Pierre du Bois de Dunilac,1943-05-05T00:00:00Z,canton de Berne,2007-06-23T00:00:00Z,,
Jean-Emery Gagnon,1953-01-01T00:00:00Z,,,,
Jacques-Enguerrand Gourgue,1930-01-01T00:00:00Z,Port-au-Prince,1996-01-01T00:00:00Z,Port-au-Prince,
Jean Féron,1881-01-01T00:00:00Z,Brunswick,1946-01-01T00:00:00Z,Saskatchewan,
Jean Fournier,1617-01-01T00:00:00Z,,1678-01-01T00:00:00Z,,"recteur, conseiller d'État, maire de Nantes"
Jean de Gand,1340-07-02T00:00:00Z,Gand,1399-02-11T00:00:00Z,château Leicester,Lord Grand Intendant
Jean Garnier-Bodéléac,1819-12-24T00:00:00Z,Quintin,1892-12-27T00:00:00Z,Quintin,"député des Côtes-d'Armor, maire de Quintin"
Jean-Georges IV de Saxe,1668-10-18T00:00:00Z,Dresde,1694-04-27T00:00:00Z,Dresde,prince-électeur
Jean Gilbert-Jules,1903-09-01T00:00:00Z,Chaulnes,1984-12-31T00:00:00Z,Paris,"député, ministre de l'Intérieur, sénateur, membre du Conseil constitutionnel"
Nicolas Goujon,1953-01-01T00:00:00Z,,,,
Q64779592,,,,,"évêque catholique, évêque titulaire"
Pierre Hardy,1962-10-05T00:00:00Z,Ath,,,député wallon
Guillaume Julien Pierre Goudelin,1765-01-25T00:00:00Z,Sévignac,1826-12-24T00:00:00Z,Dinan,membre du Conseil des Cinq-Cents
Q75879583,,,,,
Pierre de La Chapelle-Taillefert,1300-01-01T00:00:00Z,La Chapelle-Taillefert,1312-05-24T00:00:00Z,Avignon,cardinal-évêque
Jean-Lambert Tallien,1767-01-23T00:00:00Z,Paris,1820-11-16T00:00:00Z,Paris,"député, député de la Convention nationale, membre du Conseil des Cinq-Cents"
Jean Changenet,,Provence,1493-01-01T00:00:00Z,,
Renaud Ier de Craon,1060-01-01T00:00:00Z,,1101-01-01T00:00:00Z,,
Pierre Leclerc,1500-01-01T00:00:00Z,,1546-10-06T00:00:00Z,Meaux,
Pierre Le Conte,1894-01-01T00:00:00Z,,1946-01-01T00:00:00Z,,
Jean Le Gros,1671-10-03T00:00:00Z,Paris,1745-01-27T00:00:00Z,,
Guillaume Le Prestre de Lézonnet,1587-01-01T00:00:00Z,Concarneau,1640-01-01T00:00:00Z,,"évêque catholique, évêque diocésain"
Jean-Marie Le Roux,1863-04-04T00:00:00Z,Prat,1949-01-01T00:00:00Z,Rennes,
Jean Le Vacher,1619-03-15T00:00:00Z,Écouen,1683-07-26T00:00:00Z,Alger,
Nicolas Levy,,,,,
Jean-Baptiste Delille,1912-12-24T00:00:00Z,Haveluy,1993-06-07T00:00:00Z,,
Jean-Baptiste Delille,1912-12-24T00:00:00Z,Haveluy,1993-06-07T00:00:00Z,,
Jean-Baptiste Delille,1912-12-24T00:00:00Z,Haveluy,1993-06-07T00:00:00Z,,
Jean-Baptiste Delille,1912-12-24T00:00:00Z,Haveluy,1993-06-07T00:00:00Z,,
Q57024426,,,,,
Guillaume Marcellin Proteau,1772-05-02T00:00:00Z,Groix,1837-09-21T00:00:00Z,Lorient,
Jean Mignon,1893-11-11T00:00:00Z,,1949-05-20T00:00:00Z,,député
Jean Mignon,1893-11-11T00:00:00Z,,1949-05-20T00:00:00Z,,député
Pierre de Montreuil,1200-01-01T00:00:00Z,Montreuil,1267-03-24T00:00:00Z,Paris,
Thomas Morell,1957-01-01T00:00:00Z,,,,député au Riksdag
Jean Mouton,1929-02-15T00:00:00Z,Montfrin,,,"président de conseil général, député, maire de Pierrelatte"
Jean-Nicolas Démeunier,1751-03-15T00:00:00Z,Nozeroy,1814-02-02T00:00:00Z,Paris,"député, membre du Sénat conservateur"
Jean-Nicolas Bassenge,1758-11-24T00:00:00Z,Liège,1811-07-16T00:00:00Z,Liège,membre du Conseil des Cinq-Cents
Guillaume de Paris,1125-01-01T00:00:00Z,Paris,1203-01-01T00:00:00Z,Danemark,évêque
Jean Preudhomme,1732-11-23T00:00:00Z,Rolle,1795-07-20T00:00:00Z,La Neuveville,
Jean Quentin Duplaquet,1766-09-24T00:00:00Z,Fontaine-lès-Clercs,1835-10-30T00:00:00Z,Sarthe,membre du Conseil des Cinq-Cents
Robert Rector,,,,,
Nicolas Riou,,,,,
Guillaume Rouet,1988-08-13T00:00:00Z,Bayonne,,,
Jean Rousseau,1738-03-13T00:00:00Z,Witry-lès-Reims,1813-09-07T00:00:00Z,Châtillon,"député, Membre du Conseil des Anciens, membre du Sénat conservateur"
Cadet Rousselle,1743-04-30T00:00:00Z,Orgelet,1807-01-28T00:00:00Z,Auxerre,
Jean Roux,1945-04-28T00:00:00Z,,,,"maire de Pugnac, conseiller municipal de Pugnac, conseiller communautaire de Grand Cubzaguais"
Adam de Saint-Denis,,,,,
