nom,lon,lat,inception,height,constructionyear,prod
cimetière de Montmartre,2.33027777778,48.88777777778,1825-01-01T00:00:00Z,,1825.0,0
gare de Paris-Lyon,2.37361111111,48.84472222222,1847-01-01T00:00:00Z,,1847.0,0
lycée Charlemagne,2.36083333,48.85444444,1802-01-01T00:00:00Z,,1802.0,0
Bréguet - Sabin,2.37054,48.85675,1906-01-01T00:00:00Z,,1906.0,0
gare de Denfert-Rochereau,2.332778,48.833333,1846-06-07T00:00:00Z,,1846.0,0
Bataclan,2.3708333333300002,48.863055555559995,1865-01-01T00:00:00Z,,1865.0,0
jardin des Tuileries,2.32611111111,48.86388888889,1564-01-01T00:00:00Z,,1564.0,0
Petit Palais,2.31455278,48.86603333,1902-01-01T00:00:00Z,,1902.0,0
musée national des Arts asiatiques - Guimet,2.2939,48.8653,1889-01-01T00:00:00Z,,1889.0,0
Olympia,2.3283333333300003,48.87027777778,1893-01-01T00:00:00Z,,1893.0,0
moulin de la Galette,2.33708333333,48.88736111111,1622-01-01T00:00:00Z,,1622.0,0
hôpital de la Salpêtrière,2.365,48.837,1656-01-01T00:00:00Z,,1656.0,0
Gambetta,2.39833,48.86472,1905-01-25T00:00:00Z,,1905.0,0
lycée Louis-le-Grand,2.344528,48.848056,1563-10-11T00:00:00Z,,1563.0,0
chapelle expiatoire,2.322778,48.873611,1815-01-01T00:00:00Z,,1815.0,0
Bouillon Chartier,2.34365,48.873438,1896-01-01T00:00:00Z,,1896.0,0
église Saint-Philippe-du-Roule,2.31056,48.8734,1784-01-01T00:00:00Z,,1784.0,0
cirque d'hiver,2.36753055556,48.86336944444,1852-01-01T00:00:00Z,,1852.0,0
synagogue de la rue des Tournelles,2.367178,48.85526,1876-01-01T00:00:00Z,,1876.0,0
hôpital Lariboisière,2.35305556,48.88305556,1854-01-01T00:00:00Z,,1854.0,0
église Sainte-Marie des Batignolles,2.31777777778,48.886666666669996,1851-01-01T00:00:00Z,,1851.0,0
chapelle de Jésus-Enfant,2.318339,48.858969,1878-01-01T00:00:00Z,,1878.0,0
hôtel de ville de Paris,2.352222,48.856389,1357-01-01T00:00:00Z,,1357.0,0
pont de la Concorde,2.31944,48.86333,1787-01-01T00:00:00Z,,1787.0,0
piscine Molitor,2.25333333333,48.84527777778,1929-01-01T00:00:00Z,,1929.0,0
hôtel Ritz,2.3289,48.868,1898-01-01T00:00:00Z,,1898.0,0
château de Vincennes,2.43583333333,48.84277777778,1340-01-01T00:00:00Z,,1340.0,0
église Sainte-Anne de la Butte-aux-Cailles,2.35,48.8261,1912-01-01T00:00:00Z,,1912.0,0
Réaumur - Sébastopol,2.35203525525,48.86631183019,1904-01-01T00:00:00Z,,1904.0,0
hôtel de Crillon,2.321389,48.867222,1909-01-01T00:00:00Z,,1909.0,0
fontaine Saint-Michel,2.3437,48.85314444,1860-01-01T00:00:00Z,,1860.0,0
jardin des plantes de Paris,2.35972222222,48.84388888889,1635-01-01T00:00:00Z,,1635.0,0
École normale supérieure,2.34444444444,48.84194444444,1794-10-30T00:00:00Z,,1794.0,0
Ménilmontant,2.383626,48.866211,1903-01-01T00:00:00Z,,1903.0,0
palais de justice de Paris,2.345051,48.855722,1868-01-01T00:00:00Z,,1868.0,0
Père Lachaise,2.3875,48.86306,1903-02-25T00:00:00Z,,1903.0,0
église Notre-Dame-de-la-Croix de Ménilmontant,2.38685555556,48.868483333330005,1880-01-01T00:00:00Z,,1880.0,0
À l'enseigne du lion d'or,2.36327778,48.87305556,1900-01-01T00:00:00Z,,1900.0,0
Lipp,2.332628,48.854122,1880-01-01T00:00:00Z,,1880.0,0
colonne de Juillet,2.36916666667,48.85305555556,1830-01-01T00:00:00Z,,1830.0,0
école normale de musique de Paris,2.30889,48.88389,1919-01-01T00:00:00Z,,1919.0,0
école nationale de la France d'outre-mer,2.33642,48.84422,1934-01-01T00:00:00Z,,1934.0,0
église Notre-Dame-de-Bonne-Nouvelle,2.349722,48.869444,1830-03-25T00:00:00Z,,1830.0,0
cimetière de Picpus,2.40027777778,48.84388888889,1640-01-01T00:00:00Z,,1640.0,0
square Louis-XIII,2.36549,48.8557,1682-01-01T00:00:00Z,,1682.0,0
pont de Bir-Hakeim,2.28777777778,48.855555555559995,1905-01-01T00:00:00Z,,1905.0,0
Folies Bergère,2.345,48.87416667,1869-01-01T00:00:00Z,,1869.0,0
église de la Madeleine,2.32416666667,48.87,1845-01-01T00:00:00Z,,1845.0,0
abbaye de Penthemont,2.32194444,48.85638889,1201-01-01T00:00:00Z,,1201.0,0
pont Neuf,2.34161666667,48.85744722222,1578-01-01T00:00:00Z,,1578.0,0
théâtre de Paris,2.331612,48.878405,1891-01-01T00:00:00Z,,1891.0,0
théâtre de la Madeleine,2.32038,48.8709,1924-01-01T00:00:00Z,,1924.0,0
pont Alexandre-III,2.31361,48.86361,1900-01-01T00:00:00Z,,1900.0,0
institut Pasteur,2.31166666667,48.84,1887-01-01T00:00:00Z,,1887.0,0
grande mosquée de Paris,2.355,48.84194444444,1926-01-01T00:00:00Z,,1926.0,0
église Saint-François-Xavier de Paris,2.31333333333,48.85055555556,1873-01-01T00:00:00Z,,1873.0,0
hôtel de Lauzun,2.3591666666699997,48.85166666667,1658-01-01T00:00:00Z,,1658.0,0
pont d'Iéna,2.292222,48.859722,1814-01-01T00:00:00Z,,1814.0,0
maison de Balzac,2.28083333333,48.855277777779996,1949-01-01T00:00:00Z,,1949.0,0
jardin d'agronomie tropicale,2.466,48.833,1899-01-01T00:00:00Z,,1899.0,0
église Saint-Germain-l'Auxerrois,2.341111,48.859444,1220-01-01T00:00:00Z,,1220.0,0
fontaine de Jarente,2.36344444,48.85572222,1783-01-01T00:00:00Z,,1783.0,0
galerie de Paléontologie et d'Anatomie comparée,2.356012,48.841086,1898-01-01T00:00:00Z,,1898.0,0
théâtre du Châtelet,2.3463888888900004,48.85777777778,1862-01-01T00:00:00Z,,1862.0,0
institut catholique de Paris,2.3295,48.8478,1875-01-01T00:00:00Z,,1875.0,0
cathédrale Saint-Alexandre-Nevsky,2.3019916666699998,48.87755833333,1847-01-01T00:00:00Z,,1847.0,0
Villiers,2.31472,48.88111,1903-01-01T00:00:00Z,,1903.0,0
basilique Sainte-Clotilde,2.31916666667,48.85833333333,1857-11-30T00:00:00Z,,1857.0,0
hôtel Lutetia,2.3275,48.85111111111,1910-01-01T00:00:00Z,,1910.0,0
église Saint-Pierre-de-Montrouge,2.32702777778,48.82863888889,1872-01-01T00:00:00Z,,1872.0,0
église Notre-Dame-d'Auteuil,2.26944444444,48.847222222220005,1892-01-01T00:00:00Z,,1892.0,0
passage Brady,2.35527777778,48.871125,1828-01-01T00:00:00Z,,1828.0,0
synagogue de la rue Pavée,2.3604861111099997,48.855972222220004,1914-01-01T00:00:00Z,,1914.0,0
synagogue Nazareth,2.360128,48.866853,1852-01-01T00:00:00Z,,1852.0,0
église Saint-Nicolas-du-Chardonnet,2.35027777778,48.84916666667,1703-01-01T00:00:00Z,,1703.0,0
musée d'Ennery,2.2813888888900005,48.871666666669995,1908-01-01T00:00:00Z,,1908.0,0
église Saint-Jean de Montmartre,2.33788333333,48.88410555556,1904-01-01T00:00:00Z,,1904.0,0
église Notre-Dame-des-Blancs-Manteaux,2.357778,48.858611,1690-01-01T00:00:00Z,,1690.0,0
église Saint-Leu-Saint-Gilles,2.349722,48.862778,1235-01-01T00:00:00Z,,1235.0,0
église Sainte-Élisabeth-de-Hongrie,2.360278,48.865833,1628-01-01T00:00:00Z,,1628.0,0
salle Pleyel,2.3010361111099997,48.87699444444,1839-01-01T00:00:00Z,,1839.0,0
passage du Grand-Cerf,2.34925,48.864814,1825-01-01T00:00:00Z,,1825.0,0
musée national Eugène-Delacroix,2.3354,48.8546,1971-01-01T00:00:00Z,,1971.0,0
Sentier,2.346387,48.867569,1904-01-01T00:00:00Z,,1904.0,0
Le Train bleu,2.37333333333,48.845,1901-01-01T00:00:00Z,,1901.0,0
palais Brongniart,2.34082777778,48.869169444440004,1825-11-01T00:00:00Z,,1825.0,0
ménagerie du Jardin des plantes,2.360325,48.845446,1794-12-11T00:00:00Z,,1794.0,0
théâtre Le Ranelagh,2.27786,48.85447,1900-01-01T00:00:00Z,,1900.0,0
cathédrale américaine de Paris,2.30083333333,48.8675,1881-01-01T00:00:00Z,,1881.0,0
église du Val-de-Grâce,2.34194444444,48.840555555559995,1667-01-01T00:00:00Z,,1667.0,0
Élysée Montmartre,2.34333333333,48.88305555556,1807-01-01T00:00:00Z,,1807.0,0
église Saint-Ambroise,2.37556389,48.86106667,1910-12-07T00:00:00Z,,1910.0,0
abbaye de Port-Royal de Paris,2.3384,48.838763,1566-01-01T00:00:00Z,,1566.0,0
cathédrale grecque Saint-Étienne de Paris,2.2986,48.8666,1890-01-01T00:00:00Z,,1890.0,0
Centquatre-Paris,2.36989167,48.89016667,2008-10-01T00:00:00Z,,2008.0,0
centre hospitalier Sainte-Anne,2.33845,48.8287,1651-01-01T00:00:00Z,,1651.0,0
chapelle Notre-Dame-de-Consolation de Paris,2.30602777778,48.86555555556,1901-01-01T00:00:00Z,,1901.0,0
chapelle du Père-Lachaise,2.39287,48.8612,1823-01-01T00:00:00Z,,1823.0,0
