wikiID,nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,mannersOfDeath,placeOfBurialLabel,fatherLabel,motherLabel,spouses,startTime,endTime,startYear,endYear,birthYear,deathYear,urlImage
Q134259,Louis VII de France,1120-01-01T00:00:00Z,Paris,1180-09-25T00:00:00Z,Paris,,basilique Saint-Denis,Louis VI de France,Adélaïde de Savoie,"Constance de Castille, Adèle de Champagne, Aliénor d'Aquitaine",1137-08-08T00:00:00Z,1180-09-25T00:00:00Z,1137,1180,1120,1180,https://upload.wikimedia.org/wikipedia/commons/c/c1/Louis_VII_le_Jeune.jpg
Q165284,Louis VIII de France,1187-09-12T00:00:00Z,Paris,1226-11-15T00:00:00Z,Montpensier,dysentérie,basilique Saint-Denis,Philippe II Auguste,Isabelle de Hainaut,Blanche de Castille,1223-07-21T00:00:00Z,1226-11-15T00:00:00Z,1223,1226,1187,1226,https://upload.wikimedia.org/wikipedia/commons/3/35/Conquest_of_Avignon_by_Louis_VIII_%281226%29.jpg
Q133372,Charles VII de France,1403-03-03T00:00:00Z,Paris,1461-07-31T00:00:00Z,Mehun-sur-Yèvre,,basilique Saint-Denis,Charles VI,Isabeau de Bavière,Marie d'Anjou,1422-11-08T00:00:00Z,1461-08-09T00:00:00Z,1422,1461,1403,1461,https://upload.wikimedia.org/wikipedia/commons/7/71/KarlVII.jpg
Q159575,Hugues Capet,0940-01-01T00:00:00Z,Dourdan,0996-10-29T00:00:00Z,Les Juifs,,basilique Saint-Denis,Hugues le Grand,Hedwige de Saxe,Adélaïde d'Aquitaine,0987-06-08T00:00:00Z,0996-10-29T00:00:00Z,987,996,940,996,https://upload.wikimedia.org/wikipedia/commons/f/fd/Coronation_of_Hugues_Capet_2.jpg
Q165883,Louis VI de France,1081-12-07T00:00:00Z,Paris,1137-08-08T00:00:00Z,château de la Douye,,basilique Saint-Denis,Philippe Ier de France,Berthe de Hollande,"Lucienne de Rochefort, Adélaïde de Savoie",1108-08-06T00:00:00Z,1137-08-08T00:00:00Z,1108,1137,1081,1137,https://upload.wikimedia.org/wikipedia/commons/f/f9/Louis_VI_le_Gros.jpg
Q132545,Henri II,1519-04-10T00:00:00Z,Saint-Germain-en-Laye,1559-07-20T00:00:00Z,hôtel des Tournelles,,basilique Saint-Denis,François Ier,Claude de France,Catherine de Médicis,1547-04-10T00:00:00Z,1559-07-20T00:00:00Z,1547,1559,1519,1559,https://upload.wikimedia.org/wikipedia/commons/a/a8/Henri_II_roi_de_France.jpg
Q134452,Charles VIII,1470-07-09T00:00:00Z,Amboise,1498-04-16T00:00:00Z,Amboise,accident vasculaire cérébral,basilique Saint-Denis,Louis XI,Charlotte de Savoie,Anne de Bretagne,1483-09-17T00:00:00Z,1498-04-25T00:00:00Z,1483,1498,1470,1498,https://upload.wikimedia.org/wikipedia/commons/b/b4/Charles_VIII_Ecole_Francaise_16th_century_Musee_de_Conde_Chantilly.jpg
Q160349,Charles VI,1368-12-11T00:00:00Z,Paris,1422-10-30T00:00:00Z,Paris,paludisme,basilique Saint-Denis,Charles V de France,Jeanne de Bourbon,Isabeau de Bavière,1380-09-24T00:00:00Z,1422-10-30T00:00:00Z,1380,1422,1368,1422,https://upload.wikimedia.org/wikipedia/commons/0/0a/Charles_VI_de_France_-_Dialogues_de_Pierre_Salmon_-_Bib_de_Gen%C3%A8ve_MsFr165f4.jpg
Q178908,Henri Ier de France,1008-05-04T00:00:00Z,Reims,1060-08-04T00:00:00Z,Vitry-aux-Loges,,basilique Saint-Denis,Robert II de France,Constance d'Arles,"Mathilde de Franconie, Anne de Kiev, Mathilde de Frise",1031-07-16T00:00:00Z,1060-08-10T00:00:00Z,1031,1060,1008,1060,https://upload.wikimedia.org/wikipedia/commons/3/30/HendrikIFr.jpg
Q167782,Charles V de France,1338-01-29T00:00:00Z,Vincennes,1380-09-24T00:00:00Z,Paris,maladie infectieuse,basilique Saint-Denis,Jean II de France,Bonne de Luxembourg,Jeanne de Bourbon,1364-04-16T00:00:00Z,1380-09-24T00:00:00Z,1364,1380,1338,1380,https://upload.wikimedia.org/wikipedia/commons/8/84/Saint-%C3%88vre_-_Charles_V_of_France.jpg
Q170586,Philippe VI de France,1293-11-24T00:00:00Z,Fontainebleau,1350-08-30T00:00:00Z,Reims,peste,basilique Saint-Denis,Charles de Valois,Marguerite d'Anjou,"Blanche de Navarre, Jeanne de Bourgogne",1328-04-09T00:00:00Z,1350-08-30T00:00:00Z,1328,1350,1293,1350,https://upload.wikimedia.org/wikipedia/commons/5/50/Robert-Fleury_-_Philip_VI_of_France.jpg
Q174964,Charles IV de France,1294-06-25T00:00:00Z,Creil,1328-02-09T00:00:00Z,Vincennes,tuberculose,basilique Saint-Denis,Philippe IV de France,Jeanne Ire de Navarre,"Blanche de Bourgogne, Marie de Luxembourg, Jeanne d'Évreux",1322-01-11T00:00:00Z,1328-02-09T00:00:00Z,1322,1328,1294,1328,https://upload.wikimedia.org/wikipedia/commons/0/04/Charles_IV_le_Bel.jpg
Q178918,Robert II de France,0972-04-01T00:00:00Z,Orléans,1031-07-26T00:00:00Z,Melun,,basilique Saint-Denis,Hugues Capet,Adélaïde d'Aquitaine,"Rozala d'Italie, Berthe de Bourgogne, Constance d'Arles",0996-10-29T00:00:00Z,1031-07-26T00:00:00Z,996,1031,972,1031,https://upload.wikimedia.org/wikipedia/commons/d/d9/Robert_II_of_France_%28coloured%29.jpg
Q134309,Charles IX,1550-07-07T00:00:00Z,Saint-Germain-en-Laye,1574-06-09T00:00:00Z,Vincennes,tuberculose,basilique Saint-Denis,Henri II,Catherine de Médicis,Élisabeth d'Autriche,1560-12-25T00:00:00Z,1574-06-19T00:00:00Z,1560,1574,1550,1574,https://upload.wikimedia.org/wikipedia/commons/a/ac/Bemberg_Fondation_Toulouse_-_Portrait_de_Charles_IX_-_Fran%C3%A7ois_Clouet_-_Inv.1012.jpg
Q130969,Philippe IV de France,1268-01-01T00:00:00Z,Fontainebleau,1314-12-07T00:00:00Z,Fontainebleau,"accident de chasse, accident vasculaire cérébral",basilique Saint-Denis,Philippe III de France,Isabelle d'Aragon,Jeanne Ire de Navarre,1285-10-12T00:00:00Z,1314-12-07T00:00:00Z,1285,1314,1268,1314,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bust_of_Philippe_le_Bel_SaintDenis.jpg
Q132548,François II,1544-01-29T00:00:00Z,Fontainebleau,1560-12-15T00:00:00Z,Paris,méningite,basilique Saint-Denis,Henri II,Catherine de Médicis,Marie Stuart,1559-07-30T00:00:00Z,1560-12-25T00:00:00Z,1559,1560,1544,1560,https://upload.wikimedia.org/wikipedia/commons/c/c9/FrancoisII.jpg
Q737533,Louis XIII,1601-09-27T00:00:00Z,Fontainebleau,1643-05-14T00:00:00Z,Saint-Germain-en-Laye,tuberculose,basilique Saint-Denis,Henri IV,Marie de Médicis,Anne d'Autriche,1610-05-14T00:00:00Z,1643-05-14T00:00:00Z,1610,1643,1601,1643,https://upload.wikimedia.org/wikipedia/commons/4/4e/Louis_XIIIval_grace.jpg
