startDate,endDate,evenement,commentaire
-300.0,-300.0,Premières monnaies d’or des Parisii.,arrivée de la tribu gauloise des Parisii dans la région
-53.0,-53.0,"mai : bataille de Lutèce qui voit la victoire des légions de Labienus, lieutenant de Jules César, sur les Aulerques, les Sénons et les Parisii de Camulogène. Ces derniers occupent le site depuis plusieurs siècles. Les Gaulois préfèrent détruire les ponts et incendier eux-mêmes leur cité plutôt que d’y laisser entrer les Romains. L’incendie de la Lutèce gauloise permettra aux Romains de doter la ville d’une structure romaine rapidement, d’autant qu’avec sept collines et un fleuve, le parallèle avec Rome est facile.",grand conseil des Gaules en présence de Jules César Les députés des Parisii ne sont pas là
14.0,37.0,Les nautes de Lutèce élèvent une colonne en l’honneur de Jupiter : c’est le fameux « pilier des Nautes » mis au jour sous les fondations de Notre-Dame.,
50.0,100.0,Construction du forum de Lutèce.,
65.0,66.0,"Construction à Lutèce de trois thermes alimentées par un aqueduc de 16 kilomètres longeant la Bièvre dont les thermes de Lutèce, d’un amphithéâtre de 17 000 places (les arènes de Lutèce) et d’un théâtre de 3 000 places, notamment.",
250.0,250.0,"Martyre du premier évêque de Lutèce, saint Denis. Ce dernier fut l’un des sept évêques envoyés en Gaule pour l’évangéliser. Les succès enregistrés provoquèrent la haine des païens qui le firent décapiter sur la colline de Montmartre. La légende précise que saint Denis prit alors sa tête dans ses mains ; c’est la représentation la plus classique du futur saint patron de la France.",
275.0,275.0,Saccage probable par des envahisseurs germains de la rive gauche de la cité.,
291.0,292.0,Hiver particulièrement glacial. La Seine gèle ; c'est la première mention de ce type qui soit parvenue jusqu’à nous.,
300.0,300.0,Lutèce devient Paris.,
308.0,308.0,Construction d’un rempart autour de l’île de la Cité afin de la protéger des envahisseurs germains.,
346.0,346.0,Vingt jours consécutifs de pluie en mars. Inondations.,
350.0,350.0,La première basilique dédiée à Saint-Étienne est construite par les Parisiens. Cette basilique était située tout près de l'église Notre-Dame qui sera construite par Childebert Ier en 522.,
358.0,358.0,Février à juillet 358. Le césar Julien est présent à Paris avant de partir en campagne contre les Alamans et les Francs.,
359.0,360.0,"Julien est présent à Paris après sa campagne victorieuse. Il séjourne probablement au palais qui devait se trouver à la pointe de l'île de la Cité, sur un lieu qui a été ensuite occupé par les rois mérovingiens. L'empereur demandant le transfert de deux ses légions sur le Danube, les troupes de Julien refusent et le proclament Auguste à Paris. Il le devient à la mort de Constance II en 361. Dans son Misopogon Julien indique : « Je passai l'hiver dans ma chère ville de Lutèce, elle est située dans une petite île, ou l'on n'entre que par deux ponts de bois (le pont au Change et le petit Pont). Il y croit un excellent vin, on commence à connaitre l'art  d'y élever des figuiers.... »",
360.0,360.0,"Concile à Paris sur l’hérésie arianiste. Cette doctrine religieuse due au prêtre Arius ne reconnaît ni la divinité du christ, ni l’autorité du pape. Elle a été condamnée au premier concile de Nicée, en 325. Ce mouvement religieux chrétien s'est diffusé auprès de certains peuples germaniques, goths et burgondes. Les invasions de ces peuples va permettre à l’arianisme de s’imposer peu à peu à travers les parties de l'Europe qu'ils occupent progressivement. Paris devient, plus que Rome elle-même, la ville la plus hostile à l'arianisme et s'attache à rester fidèle au christianisme romain, le catholicisme.",
365.0,365.0,Octobre à décembre 365. Premier séjour de l'empereur Valentinien Ier Paris.,
