,nom,lon,lat,inception,height
0,gare de Paris-Austerlitz,2.3658333333333,48.842222222222,,
1,théâtre des Bouffes du Nord,2.3588,48.884,,
2,Crimée,2.37694444,48.89166667,,
3,cimetière de Montmartre,2.3302777777778,48.887777777778,1825-01-01T00:00:00Z,
7,gare de Paris-Saint-Lazare,2.3244444444444,48.876944444444,,
8,gare de Paris-Lyon,2.3736111111111,48.844722222222,1847-01-01T00:00:00Z,
12,lycée Charlemagne,2.36083333,48.85444444,1802-01-01T00:00:00Z,
16,Pré-Saint-Gervais,2.39889,48.88028,,
17,café Procope,2.33875,48.853055555556,,
18,gare de Paris-Est,2.3591666666667,48.876944444444,,
19,fontaine des Haudriettes,2.35792,48.8612,,
20,Europe - Simone-Veil,2.3225,48.87889,,
21,chapelle Notre-Dame-de-la-Médaille-miraculeuse,2.32377,48.850974,,
25,hôtel de Vendôme,2.33919,48.84495,,
26,bibliothèque Mazarine,2.33694444,48.85722222,,
27,Bréguet - Sabin,2.37054,48.85675,1906-01-01T00:00:00Z,
28,cimetière de Charonne,2.40347,48.8609,,
32,Aux Belles Poules,2.35261667,48.86893889,,
33,gare de Denfert-Rochereau,2.332778,48.833333,1846-06-07T00:00:00Z,
34,Barbès - Rochechouart,2.3497371942684,48.883620731538,,
43,Bataclan,2.3708333333333,48.863055555556,1865-01-01T00:00:00Z,
44,jardin des Tuileries,2.3261111111111,48.863888888889,1564-01-01T00:00:00Z,
45,Petit Palais,2.31455278,48.86603333,1902-01-01T00:00:00Z,
46,théâtre de la Gaîté,2.35333,48.8665,,
47,couvent des Cordeliers de Paris,2.3413027777778,48.850555555556,,
48,canal Saint-Martin,2.3666666666667,48.847222222222,,
52,musée national des Arts asiatiques - Guimet,2.2939,48.8653,1889-01-01T00:00:00Z,
53,Blanche,2.33361,48.88361,,
57,Boissière,2.29,48.866944444444,,
58,Botzaris,2.38805556,48.87944444,,
59,Bouillon Racine,2.3422225,48.8502466,,
60,mur des Fédérés,2.3997222222222,48.859722222222,,
61,Olympia,2.3283333333333,48.870277777778,1893-01-01T00:00:00Z,
62,moulin de la Galette,2.3370833333333,48.887361111111,1622-01-01T00:00:00Z,
63,Chardon-Lagache,2.26611,48.845,,
64,hôpital de la Salpêtrière,2.365,48.837,1656-01-01T00:00:00Z,
68,Wagram,2.30361,48.88417,,
69,Quatre-Septembre,2.33667,48.86972,,
70,Gambetta,2.39833,48.86472,1905-01-25T00:00:00Z,
71,collège des Bernardins,2.352026,48.848823,,
72,pont Marie,2.3575,48.852778,,
73,Cadet,2.3444894,48.8759778,,
74,central téléphonique Provence,2.3475,48.87222222,,
75,lycée Louis-le-Grand,2.344528,48.848056,1563-10-11T00:00:00Z,
76,chapelle expiatoire,2.322778,48.873611,1815-01-01T00:00:00Z,
77,carreau du Temple,2.3625,48.8645,,
78,Bouillon Chartier,2.34365,48.873438,1896-01-01T00:00:00Z,
79,palais du Louvre,2.335886,48.861028,,
80,église Saint-Philippe-du-Roule,2.31056,48.8734,1784-01-01T00:00:00Z,
81,Château d'Eau,2.3554703687707,48.872589010911,,
82,cirque d'hiver,2.3675305555556,48.863369444444,1852-01-01T00:00:00Z,
83,Cité,2.34755,48.855294444444,,
84,collège Sainte-Barbe,2.3466,48.847507,,
85,collège de Beauvais,2.347031,48.849525,,
86,Colonel Fabien,2.370265,48.87795,,
90,colonne Médicis,2.3429861111111,48.8625,,
91,synagogue de la rue des Tournelles,2.367178,48.85526,1876-01-01T00:00:00Z,
92,hôpital Lariboisière,2.35305556,48.88305556,1854-01-01T00:00:00Z,
96,hôpital Cochin,2.3402777777778,48.836944444444,,
100,fontaine Gaillon,2.33431,48.869,,
101,Saint-Marcel,2.36028,48.83778,,
102,Picpus,2.40089,48.84481,,
103,Châtelet,2.3471194010479,48.858519522442,,
107,jardin des serres d'Auteuil,2.252222,48.846944,,
108,théâtre de la Porte-Saint-Martin,2.3566666666667,48.869027777778,,
109,Place de Clichy,2.3275,48.883888888889,,
125,Anvers,2.34472,48.88278,,
129,gare de Lyon,2.3740659075147,48.844704545066,,
130,église Sainte-Marie des Batignolles,2.3177777777778,48.886666666667,1851-01-01T00:00:00Z,
131,chapelle de Jésus-Enfant,2.318339,48.858969,1878-01-01T00:00:00Z,
132,Ternes,2.2986111111111,48.877777777778,,
136,hôtel de ville de Paris,2.352222,48.856389,1357-01-01T00:00:00Z,
137,pont de la Concorde,2.31944,48.86333,1787-01-01T00:00:00Z,
141,piscine Molitor,2.2533333333333,48.845277777778,1929-01-01T00:00:00Z,
142,hôtel Ritz,2.3289,48.868,1898-01-01T00:00:00Z,
143,château de Vincennes,2.4358333333333,48.842777777778,1340-01-01T00:00:00Z,
144,Tuileries,2.3303141802642,48.864497096697,,
145,église Sainte-Anne de la Butte-aux-Cailles,2.35,48.8261,1912-01-01T00:00:00Z,
146,Réaumur - Sébastopol,2.3520352552543,48.866311830188,1904-01-01T00:00:00Z,
150,Campo-Formio,2.35806,48.835,,
151,hôtel de Crillon,2.321389,48.867222,1909-01-01T00:00:00Z,
152,fontaine Saint-Michel,2.3437,48.85314444,1860-01-01T00:00:00Z,
153,La Pagode,2.31639,48.8516,,
157,jardin des plantes de Paris,2.3597222222222,48.843888888889,1635-01-01T00:00:00Z,
158,couvent des Feuillants,2.329096,48.866215,,
159,couvent des Récollets de Paris,2.36,48.875277777778,,
160,École normale supérieure,2.3444444444444,48.841944444444,1794-10-30T00:00:00Z,
161,Ménilmontant,2.383626,48.866211,1903-01-01T00:00:00Z,
165,théâtre du Gymnase Marie-Bell,2.3488888888889,48.870833333333,,
166,conciergerie de Paris,2.3455555555556,48.856388888889,,
167,palais de justice de Paris,2.345051,48.855722,1868-01-01T00:00:00Z,
168,Père Lachaise,2.3875,48.86306,1903-02-25T00:00:00Z,
172,église Notre-Dame-de-la-Croix de Ménilmontant,2.3868555555556,48.868483333333,1880-01-01T00:00:00Z,
173,À l'enseigne du lion d'or,2.36327778,48.87305556,1900-01-01T00:00:00Z,
174,Lipp,2.332628,48.854122,1880-01-01T00:00:00Z,
175,colonne de Juillet,2.3691666666667,48.853055555556,1830-01-01T00:00:00Z,
176,école normale de musique de Paris,2.30889,48.88389,1919-01-01T00:00:00Z,
180,école nationale de la France d'outre-mer,2.33642,48.84422,1934-01-01T00:00:00Z,
181,Église d'Auteuil,2.26902,48.847169,,
182,église Notre-Dame-de-Bonne-Nouvelle,2.349722,48.869444,1830-03-25T00:00:00Z,
183,cimetière de Picpus,2.4002777777778,48.843888888889,1640-01-01T00:00:00Z,
184,square Louis-XIII,2.36549,48.8557,1682-01-01T00:00:00Z,
