nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Guillaume Budé,1467-02-04T00:00:00Z,Paris,1540-09-02T00:00:00Z,Paris,"prévôt des marchands de Paris, Maître de la Librairie du Roi"
François II de Rohan,1480-01-01T00:00:00Z,,1536-10-23T00:00:00Z,Paris,archevêque catholique
Armand Jean du Plessis de Richelieu,1585-09-09T00:00:00Z,Paris,1642-12-04T00:00:00Z,Paris,"cardinal, évêque catholique, évêque diocésain, Secrétaire d'État des Affaires étrangères, gouverneur de Bretagne"
Louis XIII,1601-09-27T00:00:00Z,Fontainebleau,1643-05-14T00:00:00Z,Saint-Germain-en-Laye,roi de France et de Navarre
Nicolas Fouquet,1615-01-27T00:00:00Z,Paris,1680-03-23T00:00:00Z,Pignerol,"Surintendant des finances, Intendant de la généralité de Paris, Procureur général au Parlement de Paris, Intendant de la généralité de Grenoble"
Charles Le Brun,1619-02-24T00:00:00Z,Paris,1690-02-12T00:00:00Z,Paris,Premier peintre du Roi
Molière,1622-01-15T00:00:00Z,Paris,1673-02-17T00:00:00Z,Paris,
Marquise de Sévigné,1626-02-05T00:00:00Z,Paris,1696-04-17T00:00:00Z,Grignan,
Charles Perrault,1628-01-12T00:00:00Z,Paris,1703-05-16T00:00:00Z,Paris,fauteuil 23 de l'Académie française
François de Nesmond,1629-08-31T00:00:00Z,Paris,1715-06-16T00:00:00Z,Bayeux,"évêque catholique, évêque diocésain"
Madame de La Fayette,1634-03-16T00:00:00Z,Paris,1693-05-25T00:00:00Z,Paris,
Nicolas Boileau,1636-11-01T00:00:00Z,Paris,1711-03-13T00:00:00Z,Paris,fauteuil 1 de l'Académie française
François Michel Le Tellier de Louvois,1641-01-18T00:00:00Z,Paris,1691-07-16T00:00:00Z,Versailles,"Département de la Maison du roi, ministre de la Guerre"
Louis XIV,1638-09-05T00:00:00Z,château de Saint-Germain-en-Laye,1715-09-01T00:00:00Z,château de Versailles,roi de France et de Navarre
Marc Aurèle,0121-04-25T00:00:00Z,Rome,0180-03-16T00:00:00Z,Vindobona,"empereur romain, sénateur romain, consul de l'Empire romain"
Jean de La Bruyère,1645-08-16T00:00:00Z,Paris,1696-05-10T00:00:00Z,Versailles,"Trésorier général de France, fauteuil 36 de l'Académie française"
Jules Hardouin-Mansart,1646-04-16T00:00:00Z,Paris,1708-05-11T00:00:00Z,Marly-le-Roi,Surintendant des Bâtiments
François Mansart,1598-01-13T00:00:00Z,Paris,1666-09-23T00:00:00Z,Paris,
François Couperin l'ancien,1631-01-01T00:00:00Z,Chaumes-en-Brie,1701-01-01T00:00:00Z,Paris,
Paul de Tarse,0005-01-01T00:00:00Z,Tarse,0067-01-01T00:00:00Z,Rome,apôtre
Simón Bolívar,1783-07-24T00:00:00Z,Caracas,1830-12-17T00:00:00Z,Santa Marta,"président, président de la Bolivie, président du Pérou, Président du Venezuela"
Voltaire,1694-11-21T00:00:00Z,Paris,1778-05-30T00:00:00Z,Paris,"historiographe de France, fauteuil 33 de l'Académie française"
Jean Le Rond d'Alembert,1717-11-16T00:00:00Z,Paris,1783-10-29T00:00:00Z,Paris,"secrétaire perpétuel, fauteuil 25 de l'Académie française"
Madame de Pompadour,1721-12-29T00:00:00Z,Paris,1764-04-15T00:00:00Z,Versailles,Favori
Louis XVI,1754-08-23T00:00:00Z,château de Versailles,1793-01-21T00:00:00Z,place de la Concorde,"roi de France et de Navarre, roi des Français"
marquis de Sade,1740-06-02T00:00:00Z,Paris,1814-12-02T00:00:00Z,Saint-Maurice,
Jean-Paul II,1920-05-18T00:00:00Z,Wadowice,2005-04-02T00:00:00Z,palais du Vatican,"pape, cardinal, évêque auxiliaire, évêque catholique, évêque titulaire, Archevêque de Cracovie, archevêque catholique"
Jacques Chirac,1932-11-29T00:00:00Z,Paris,2019-09-26T00:00:00Z,Paris,"député européen, président, président de la République française, coprince d'Andorre, Premier ministre français, président de conseil général, député, maire de Paris, ministre de l'Intérieur, ministre délégué aux Relations avec le Parlement, ministre de l'Agriculture et du Développement rural, Conseiller général de la Corrèze"
Jacques-Louis David,1748-08-30T00:00:00Z,Paris,1825-12-29T00:00:00Z,Bruxelles,député de la Convention nationale
Charles Aznavour,1924-05-22T00:00:00Z,Paris,2018-10-01T00:00:00Z,Mouriès,ambassadeur d'Arménie
Q61628608,1843-01-25T00:00:00Z,,1917-01-05T00:00:00Z,,
François Mitterrand,1916-10-26T00:00:00Z,Jarnac,1996-01-08T00:00:00Z,7e arrondissement de Paris,"ministre, président de la République française, coprince d'Andorre, premier secrétaire du Parti socialiste français, président de conseil général, député, conseiller général, sénateur, garde des Sceaux, ministre de la Justice, ministre de la Justice, sénateur de la Communauté, ministre de l'Intérieur, maire de Château-Chinon (Ville)"
Jean Baudoin,1590-01-01T00:00:00Z,Pradelles,1650-01-01T00:00:00Z,Paris,fauteuil 18 de l'Académie française
Charles Percier,1764-08-22T00:00:00Z,Paris,1838-09-05T00:00:00Z,Paris,
Julie Philipault,1780-01-01T00:00:00Z,Paris,1834-01-01T00:00:00Z,Paris,
Hippolyte Ganneron,1792-05-22T00:00:00Z,Paris,1847-05-23T00:00:00Z,Paris,"vice-président, président, député de la Seine"
Achille Chaper,1795-05-05T00:00:00Z,Paris,1874-07-27T00:00:00Z,Grenoble,"député de la Côte-d'Or, préfet du Gard"
Jules Michelet,1798-08-21T00:00:00Z,Paris,1874-02-09T00:00:00Z,Hyères,
Émile Littré,1801-02-01T00:00:00Z,Paris,1881-06-02T00:00:00Z,Paris,"député, sénateur inamovible, fauteuil 17 de l'Académie française"
Alexandre Pouchkine,1799-06-06T00:00:00Z,Moscou,1837-02-10T00:00:00Z,Saint-Pétersbourg,membre de la Filikí Etería
Alexandre-Gabriel Decamps,1803-03-03T00:00:00Z,Paris,1860-08-22T00:00:00Z,Fontainebleau,
Adolphe Adam,1803-07-24T00:00:00Z,Paris,1856-05-03T00:00:00Z,Paris,
Prosper Mérimée,1803-09-28T00:00:00Z,Paris,1870-09-23T00:00:00Z,Cannes,"sénateur du Second Empire, fauteuil 25 de l'Académie française"
Eugène Sue,1804-01-26T00:00:00Z,Paris,1857-07-03T00:00:00Z,Annecy,député de la Seine
George Sanderson,1810-01-01T00:00:00Z,,,,sénateur de Pennsylvanie
Alexis de Tocqueville,1805-07-29T00:00:00Z,Paris,1859-04-16T00:00:00Z,Cannes,"président, député, ministre des Affaires étrangères, fauteuil 18 de l'Académie française"
Napoléon III,1808-04-20T00:00:00Z,Paris,1873-01-09T00:00:00Z,Chislehurst,"président de la République française, député, empereur des Français, chef du gouvernement français, grand maître de la Légion d'honneur"
Gérard de Nerval,1808-05-22T00:00:00Z,Paris,1855-01-26T00:00:00Z,Paris,
Georges Eugène Haussmann,1809-03-27T00:00:00Z,Paris,1891-01-11T00:00:00Z,Paris,"préfet, député, sous-préfet, secrétaire général, sénateur du Second Empire, conseiller de préfecture"
Alfred de Musset,1810-12-11T00:00:00Z,Paris,1857-05-02T00:00:00Z,Paris,fauteuil 10 de l'Académie française
Eugène Viollet-le-Duc,1814-01-27T00:00:00Z,Paris,1879-09-17T00:00:00Z,Lausanne,"architecte diocésain, conseiller municipal de Paris"
Eugène Labiche,1815-05-05T00:00:00Z,Paris,1888-01-22T00:00:00Z,Paris,"maire de Souvigny-en-Sologne, fauteuil 15 de l'Académie française"
Eugène Pottier,1816-10-04T00:00:00Z,Paris,1887-11-06T00:00:00Z,Paris,maire du 2e arrondissement de Paris
Charles Gounod,1818-06-17T00:00:00Z,,1893-10-18T00:00:00Z,Saint-Cloud,
Charles Baudelaire,1821-04-09T00:00:00Z,Paris,1867-08-31T00:00:00Z,Paris,
Charles Garnier,1825-11-06T00:00:00Z,Paris,1898-08-03T00:00:00Z,Paris,
Victor Frédéric Verrimst,1825-10-29T00:00:00Z,Paris,1893-01-10T00:00:00Z,Houilles,
Gustave Moreau,1826-04-06T00:00:00Z,Paris,1898-04-18T00:00:00Z,Rennes,
Lisa Cristiani,1827-01-01T00:00:00Z,Paris,1853-10-24T00:00:00Z,Novotcherkassk,
Jules de Goncourt,1830-12-17T00:00:00Z,Paris,1870-06-20T00:00:00Z,Paris,
Édouard Manet,1832-01-23T00:00:00Z,Paris,1883-04-30T00:00:00Z,8e arrondissement de Paris,
Edgar Degas,1834-07-19T00:00:00Z,Paris,1917-09-27T00:00:00Z,Paris,
Camille Saint-Saëns,1835-10-09T00:00:00Z,Paris,1921-12-16T00:00:00Z,Alger,
Saensurin,1511-01-01T00:00:00Z,Nong Khai,1582-01-01T00:00:00Z,Vientiane,"régent, Lan Xang, roi de Lan Xang"
Georges Bizet,1838-10-25T00:00:00Z,rue Louise-Émilie-de-La-Tour-d'Auvergne,1875-06-03T00:00:00Z,Bougival,
Alfred Sisley,1839-10-30T00:00:00Z,Paris,1899-01-29T00:00:00Z,Moret-sur-Loing,
Émile Zola,1840-04-02T00:00:00Z,rue Saint-Joseph,1902-09-29T00:00:00Z,Paris,président
Francesco Filippini,1853-09-18T00:00:00Z,Brescia,1895-03-06T00:00:00Z,Milan,
Nélie Jacquemart,1841-07-25T00:00:00Z,Paris,1912-05-14T00:00:00Z,Paris,
Stéphane Mallarmé,1842-03-18T00:00:00Z,Paris,1898-09-09T00:00:00Z,Fontainebleau,
Sarah Bernhardt,1844-10-22T00:00:00Z,Paris,1923-03-26T00:00:00Z,Paris,sociétaire de la Comédie-Française
Anatole France,1844-04-16T00:00:00Z,Paris,1924-10-12T00:00:00Z,manoir de la Béchellerie,"président, fauteuil 38 de l'Académie française"
Jean Casimir du Palatinat,1543-03-07T00:00:00Z,Simmern,1592-01-16T00:00:00Z,Heidelberg,régent
